"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2018-01-01 ~ 2018-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 경기도"
"시군구 : 고양시 일산동구"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 고양시 일산동구 풍동","532-35","0532","0035","성원1차","84.3900","201812","31","26,000","-","14","-","-","1998","고풍로 44-25","-","-","-","-"
"2","경기도 고양시 일산동구 마두동","794","0794","0000","강촌마을(우방)","84.9400","201812","31","41,400","-","15","-","-","1993","강송로 195","-","-","-","-"
"3","경기도 고양시 일산동구 마두동","755","0755","0000","백마마을(삼성)","133.4700","201812","31","60,000","-","11","-","-","1993","일산로 241","-","-","-","-"
"4","경기도 고양시 일산동구 중산동","1566","1566","0000","중산마을10(경남)","73.9800","201812","31","25,000","-","11","-","-","1995","탄중로 430","-","-","-","-"
"5","경기도 고양시 일산동구 장항동","902","0902","0000","호수마을(대우)","70.8900","201812","31","33,000","-","14","-","-","1996","중앙로 1129","-","-","-","-"
"6","경기도 고양시 일산동구 백석동","1183","1183","0000","백송마을(우성)","39.9600","201812","31","19,000","-","3","-","-","1992","백석로 109","-","-","-","-"
"7","경기도 고양시 일산동구 백석동","1237","1237","0000","일산요진와이시티","84.4900","201812","31","65,000","-","12","-","-","2016","강송로 33","-","-","-","-"
"8","경기도 고양시 일산동구 식사동","1510","1510","0000","위시티블루밍3단지","123.0800","201812","31","50,000","-","5","-","-","2010","위시티4로 79","-","-","-","-"
"9","경기도 고양시 일산동구 풍동","1267","1267","0000","숲속마을5단지(I-PARK)","124.2800","201812","31","46,000","-","11","-","-","2006","숲속마을1로 87","-","-","-","-"
"10","경기도 고양시 일산동구 풍동","1286","1286","0000","숲속마을2단지","75.8200","201812","30","33,000","-","14","-","-","2006","숲속마을1로 55","-","-","-","-"
"11","경기도 고양시 일산동구 풍동","1268","1268","0000","숲속마을(6단지두산위브)","129.1270","201812","30","44,500","-","1","-","-","2006","숲속마을로 68","-","-","-","-"
"12","경기도 고양시 일산동구 풍동","1268","1268","0000","숲속마을(6단지두산위브)","134.6020","201812","29","47,150","-","16","-","-","2006","숲속마을로 68","-","-","-","-"
"13","경기도 고양시 일산동구 중산동","1700","1700","0000","하늘마을2단지","84.7200","201812","29","29,500","-","3","-","-","2007","하늘마을로 94","-","-","-","-"
"14","경기도 고양시 일산동구 중산동","1700","1700","0000","하늘마을2단지","84.7200","201812","28","32,000","-","15","-","-","2007","하늘마을로 94","-","-","-","-"
"15","경기도 고양시 일산동구 백석동","1183","1183","0000","백송마을(우성)","52.9200","201812","28","22,000","-","14","-","-","1992","백석로 109","-","-","-","-"
"16","경기도 고양시 일산동구 식사동","1565","1565","0000","위시티블루밍5단지","154.7400","201812","28","58,200","-","24","-","-","2010","위시티1로 7","-","-","-","-"
"17","경기도 고양시 일산동구 풍동","1258","1258","0000","숲속마을8단지","51.9300","201812","28","26,200","-","17","-","-","2006","숲속마을1로 115","-","-","-","-"
"18","경기도 고양시 일산동구 마두동","789","0789","0000","강촌마을(라이프)","84.9300","201812","27","51,500","-","19","-","-","1993","강석로 110","-","-","-","-"
"19","경기도 고양시 일산동구 사리현동","466-1","0466","0001","현대그린","38.5200","201812","27","7,000","-","1","-","-","1989","성현로 508","-","-","-","-"
"20","경기도 고양시 일산동구 식사동","1487","1487","0000","위시티일산자이1단지","84.7861","201812","27","40,000","-","5","-","-","2010","위시티4로 80","-","-","-","-"
"21","경기도 고양시 일산동구 장항동","881","0881","0000","호수마을(현대)","59.9250","201812","26","36,000","-","6","-","-","1994","노루목로 100","-","-","-","-"
"22","경기도 고양시 일산동구 마두동","739","0739","0000","백마마을(극동)","132.8000","201812","26","56,000","-","2","-","-","1993","일산로 205","-","-","-","-"
"23","경기도 고양시 일산동구 풍동","1283","1283","0000","숲속마을3단지(요진더포레스트)","84.9500","201812","26","34,750","-","20","-","-","2006","숲속마을로 65","-","-","-","-"
"24","경기도 고양시 일산동구 풍동","1267","1267","0000","숲속마을5단지(I-PARK)","124.2800","201812","26","46,000","-","11","-","-","2006","숲속마을1로 87","-","-","-","-"
"25","경기도 고양시 일산동구 중산동","1566-2","1566","0002","중산마을9단지두산한성","134.0600","201812","26","30,000","-","7","-","-","1996","탄중로 416","-","-","-","-"
"26","경기도 고양시 일산동구 장항동","881","0881","0000","호수마을(현대)","70.1400","201812","26","44,000","-","8","-","-","1994","노루목로 100","-","-","-","-"
"27","경기도 고양시 일산동구 풍동","1127-1","1127","0001","쌍용","144.0247","201812","25","40,500","-","7","-","-","2002","애니골길 7-27","-","-","-","-"
"28","경기도 고양시 일산동구 풍동","385-1","0385","0001","일산풍동에이스","59.7100","201812","25","20,600","-","17","-","-","1998","고풍로 20","-","-","-","-"
"29","경기도 고양시 일산동구 풍동","1267","1267","0000","숲속마을5단지(I-PARK)","101.3400","201812","25","43,500","-","8","-","-","2006","숲속마을1로 87","-","-","-","-"
"30","경기도 고양시 일산동구 마두동","806","0806","0000","강촌마을(한양6)","35.1000","201812","25","18,000","-","4","-","-","1998","중앙로 1130","-","-","-","-"
"31","경기도 고양시 일산동구 마두동","732","0732","0000","백마마을(한양)","84.9450","201812","24","41,000","-","14","-","-","1995","일산로 206","-","-","-","-"
"32","경기도 고양시 일산동구 장항동","883","0883","0000","호수마을(청구)","67.7350","201812","24","43,900","-","6","-","-","1994","노루목로 99","-","-","-","-"
"33","경기도 고양시 일산동구 장항동","883","0883","0000","호수마을(청구)","84.9650","201812","24","54,900","-","15","-","-","1994","노루목로 99","-","-","-","-"
"34","경기도 고양시 일산동구 중산동","1556","1556","0000","중산마을2(코오롱)","49.9800","201812","24","15,700","-","12","-","-","1995","고봉로 422","-","-","-","-"
"35","경기도 고양시 일산동구 사리현동","187","0187","0000","사리현동문디이스트2단지","84.6186","201812","24","21,500","-","12","-","-","2004","공릉천로 64","-","-","-","-"
