"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2015-01-01 ~ 2015-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 경기도"
"시군구 : 고양시 일산동구"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 고양시 일산동구 중산동","1555","1555","0000","중산마을1단지(두산)","37.3500","201512","31","12,300","-","2","-","-","1995","고봉로 424","-","-","-","-"
"2","경기도 고양시 일산동구 중산동","1651","1651","0000","산들마을2(대림)","84.9400","201512","30","30,800","-","3","-","-","2002","고봉로278번길 17","-","-","-","-"
"3","경기도 고양시 일산동구 풍동","1267","1267","0000","숲속마을5단지(I-PARK)","237.2100","201512","30","76,500","-","18","-","-","2006","숲속마을1로 87","-","-","-","-"
"4","경기도 고양시 일산동구 식사동","1510","1510","0000","위시티블루밍3단지","122.8300","201512","30","52,000","-","17","-","-","2010","위시티4로 79","-","-","-","-"
"5","경기도 고양시 일산동구 장항동","881","0881","0000","호수마을(현대)","84.8100","201512","30","39,900","-","3","-","-","1994","노루목로 100","-","-","-","-"
"6","경기도 고양시 일산동구 백석동","1186","1186","0000","백송마을(대림)","58.7400","201512","30","25,700","-","7","-","-","1993","백석로 119","-","-","-","-"
"7","경기도 고양시 일산동구 마두동","734","0734","0000","백마마을(한양4)","134.9600","201512","29","46,000","-","11","-","-","1994","강촌로 191","-","-","-","-"
"8","경기도 고양시 일산동구 중산동","1554-2","1554","0002","중산마을3단지(일신)","59.8450","201512","29","19,900","-","4","-","-","1995","중산로 260","-","-","-","-"
"9","경기도 고양시 일산동구 풍동","174","0174","0000","은행마을1(동문)","72.6283","201512","29","26,400","-","20","-","-","2002","은행마을로 16","-","-","-","-"
"10","경기도 고양시 일산동구 중산동","1555","1555","0000","중산마을1단지(두산)","59.9700","201512","28","16,950","-","1","-","-","1995","고봉로 424","-","-","-","-"
"11","경기도 고양시 일산동구 중산동","1554-2","1554","0002","중산마을3단지(일신)","59.8450","201512","28","20,000","-","7","-","-","1995","중산로 260","-","-","-","-"
"12","경기도 고양시 일산동구 중산동","1700","1700","0000","하늘마을2단지","84.7100","201512","28","31,000","-","10","-","-","2007","하늘마을로 94","-","-","-","-"
"13","경기도 고양시 일산동구 중산동","1700","1700","0000","하늘마을2단지","75.3800","201512","28","27,000","-","6","-","-","2007","하늘마을로 94","-","-","-","-"
"14","경기도 고양시 일산동구 중산동","1700","1700","0000","하늘마을2단지","84.7200","201512","28","32,200","-","7","-","-","2007","하늘마을로 94","-","-","-","-"
"15","경기도 고양시 일산동구 중산동","1700","1700","0000","하늘마을2단지","84.7200","201512","28","30,900","-","14","-","-","2007","하늘마을로 94","-","-","-","-"
"16","경기도 고양시 일산동구 사리현동","466-1","0466","0001","현대그린","38.5200","201512","28","5,500","-","1","-","-","1989","성현로 508","-","-","-","-"
"17","경기도 고양시 일산동구 마두동","789","0789","0000","강촌마을(라이프)","47.5500","201512","27","22,700","-","4","-","-","1992","강석로 110","-","-","-","-"
"18","경기도 고양시 일산동구 마두동","783","0783","0000","강촌마을(한신)","134.8030","201512","27","49,000","-","17","-","-","1993","강송로 156","-","-","-","-"
"19","경기도 고양시 일산동구 풍동","1258","1258","0000","숲속마을8단지","59.9100","201512","26","26,400","-","17","-","-","2006","숲속마을1로 115","-","-","-","-"
"20","경기도 고양시 일산동구 식사동","1529","1529","0000","위시티일산자이주상복합","141.9000","201512","26","56,546","-","21","-","-","2010","위시티2로11번길 45","-","-","-","-"
"21","경기도 고양시 일산동구 마두동","806","0806","0000","강촌마을(한양6)","35.1000","201512","25","16,500","-","12","-","-","1998","중앙로 1130","-","-","-","-"
