"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2012-01-01 ~ 2012-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 경기도"
"시군구 : 하남시"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 하남시 신장동","528","0528","0000","백조현대","49.9800","201212","31","17,000","-","1","-","-","1994","대청로 62","-","-","-","-"
"2","경기도 하남시 덕풍동","681","0681","0000","한솔리치빌(1단지)","84.8049","201212","31","27,000","-","16","-","-","2002","덕산로 39","-","-","-","-"
"3","경기도 하남시 덕풍동","748","0748","0000","동원베네스트","84.9600","201212","31","39,500","-","9","-","-","2008","덕풍북로 236","-","-","-","-"
"4","경기도 하남시 덕풍동","692","0692","0000","하남한솔솔파크","84.9900","201212","31","34,500","-","10","-","-","2006","하남대로887번길 25","-","-","-","-"
"5","경기도 하남시 창우동","520","0520","0000","은행한신","102.0000","201212","30","36,000","-","8","-","-","1994","대청로116번길 30","-","-","-","-"
"6","경기도 하남시 덕풍동","537-1","0537","0001","덕풍쌍용","114.9800","201212","29","28,800","-","2","-","-","1998","역말로 15-35","-","-","-","-"
"7","경기도 하남시 신장동","569","0569","0000","대명강변타운","84.8300","201212","29","35,000","-","13","-","-","2007","대청로 79","-","-","-","-"
"8","경기도 하남시 창우동","521","0521","0000","꿈동산신안","84.9650","201212","28","30,000","-","12","-","-","1994","대청로116번길 59","-","-","-","-"
"9","경기도 하남시 창우동","521","0521","0000","꿈동산신안","84.8900","201212","27","27,000","-","2","-","-","1994","대청로116번길 59","-","-","-","-"
"10","경기도 하남시 창우동","520","0520","0000","은행한신","134.9800","201212","27","40,000","-","13","-","-","1994","대청로116번길 30","-","-","-","-"
"11","경기도 하남시 창우동","520","0520","0000","은행한신","102.0000","201212","26","35,800","-","12","-","-","1994","대청로116번길 30","-","-","-","-"
"12","경기도 하남시 덕풍동","691","0691","0000","하남자이","84.9900","201212","26","30,000","-","15","-","-","2006","덕풍공원로 38","-","-","-","-"
"13","경기도 하남시 신장동","427-25","0427","0025","하남","40.8000","201212","25","14,000","-","2","-","-","1991","신장1로27번길 66","-","-","-","-"
"14","경기도 하남시 신장동","427-66","0427","0066","진도로르빌","83.2300","201212","24","23,000","-","12","-","-","2003","신평로55번길 8","-","-","-","-"
"15","경기도 하남시 신장동","569","0569","0000","대명강변타운","84.8300","201212","24","33,000","-","13","-","-","2007","대청로 79","-","-","-","-"
"16","경기도 하남시 덕풍동","692","0692","0000","하남한솔솔파크","84.9900","201212","22","33,500","-","9","-","-","2006","하남대로887번길 25","-","-","-","-"
"17","경기도 하남시 덕풍동","731","0731","0000","하남풍산아이파크(5단지)","84.9690","201212","22","42,000","-","6","-","-","2008","덕풍서로 65","-","-","-","-"
"18","경기도 하남시 창우동","521","0521","0000","꿈동산신안","84.8900","201212","22","30,200","-","7","-","-","1994","대청로116번길 59","-","-","-","-"
"19","경기도 하남시 덕풍동","823","0823","0000","하남풍산아이파크(1단지)","84.9660","201212","22","40,600","-","5","-","-","2008","덕풍남로 11","-","-","-","-"
"20","경기도 하남시 덕풍동","404-1","0404","0001","진모루마을현대","84.9987","201212","22","27,500","-","19","-","-","2000","신평로 81","-","-","-","-"
"21","경기도 하남시 창우동","521","0521","0000","꿈동산신안","84.9650","201212","22","30,300","-","3","-","-","1995","대청로116번길 59","-","-","-","-"
"22","경기도 하남시 창우동","518","0518","0000","부영","49.5800","201212","22","20,000","-","9","-","-","1994","대청로 119","-","-","-","-"
"23","경기도 하남시 신장동","430-7","0430","0007","성원상떼빌","59.2800","201212","21","20,600","-","12","-","-","2003","신장로 104","-","-","-","-"
"24","경기도 하남시 덕풍동","692","0692","0000","하남한솔솔파크","84.9900","201212","20","33,000","-","15","-","-","2006","하남대로887번길 25","-","-","-","-"
"25","경기도 하남시 신장동","527","0527","0000","해오름한국","59.9100","201212","19","25,100","-","11","-","-","1996","대청로59번길 15","-","-","-","-"
"26","경기도 하남시 덕풍동","731","0731","0000","하남풍산아이파크(5단지)","84.9620","201212","19","39,000","-","3","-","-","2008","덕풍서로 65","-","-","-","-"
"27","경기도 하남시 신장동","569","0569","0000","대명강변타운","84.8300","201212","19","34,000","-","19","-","-","2007","대청로 79","-","-","-","-"
"28","경기도 하남시 신장동","427-66","0427","0066","진도로르빌","83.2300","201212","18","23,000","-","8","-","-","2003","신평로55번길 8","-","-","-","-"
"29","경기도 하남시 덕풍동","681","0681","0000","한솔리치빌(1단지)","84.8049","201212","18","26,800","-","13","-","-","2002","덕산로 39","-","-","-","-"
