"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2017-01-01 ~ 2017-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 성남시 분당구 삼평동","738","0738","0000","봇들마을7단지","108.1500","201712","31","135,000","-","18","-","-","2009","동판교로 155","-","-","-","-"
"2","경기도 성남시 분당구 금곡동","143","0143","0000","청솔마을(성원)","110.9700","201712","31","70,500","-","1","-","-","1994","미금로 251","-","-","-","-"
"3","경기도 성남시 분당구 정자동","194","0194","0000","정든마을(7단지)(한진)","49.5000","201712","31","46,900","-","8","-","-","1994","내정로 10","-","-","-","-"
"4","경기도 성남시 분당구 서현동","92","0092","0000","시범현대","84.9500","201712","31","74,000","-","29","-","-","1992","중앙공원로 20","-","-","-","-"
"5","경기도 성남시 분당구 삼평동","705","0705","0000","봇들마을1단지(판교신미주)","83.6980","201712","31","81,500","-","3","-","-","2009","동판교로 275","-","-","-","-"
"6","경기도 성남시 분당구 서현동","96","0096","0000","시범우성","64.8000","201712","31","54,800","-","10","-","-","1992","중앙공원로 54","-","-","-","-"
"7","경기도 성남시 분당구 구미동","77","0077","0000","까치마을(1단지)(대우롯데선경)","70.6600","201712","31","65,000","-","24","-","-","1995","미금로 184","-","-","-","-"
"8","경기도 성남시 분당구 이매동","100","0100","0000","이매촌(삼성)","73.2500","201712","31","55,000","-","13","-","-","1994","양현로 220","-","-","-","-"
"9","경기도 성남시 분당구 삼평동","742","0742","0000","봇들마을8단지(주공)","118.9100","201712","31","145,000","-","2","-","-","2009","동판교로 153","-","-","-","-"
"10","경기도 성남시 분당구 분당동","34","0034","0000","샛별마을(라이프)","85.0000","201712","30","62,000","-","1","-","-","1993","분당로 190","-","-","-","-"
"11","경기도 성남시 분당구 삼평동","718","0718","0000","봇들마을4단지(주공)","84.9800","201712","30","87,000","-","2","-","-","2009","동판교로 226","-","-","-","-"
"12","경기도 성남시 분당구 삼평동","718","0718","0000","봇들마을4단지(주공)","84.6900","201712","30","85,000","-","9","-","-","2009","동판교로 226","-","-","-","-"
"13","경기도 성남시 분당구 삼평동","742","0742","0000","봇들마을8단지(주공)","84.9200","201712","30","120,000","-","12","-","-","2009","동판교로 153","-","-","-","-"
"14","경기도 성남시 분당구 삼평동","740","0740","0000","판교호반써밋플레이스","133.9600","201712","30","148,000","-","6","-","-","2012","동판교로177번길 25","-","-","-","-"
"15","경기도 성남시 분당구 이매동","124","0124","0000","이매촌(한신)","66.2700","201712","30","62,000","-","16","-","-","1993","서현로 181","-","-","-","-"
"16","경기도 성남시 분당구 이매동","124","0124","0000","이매촌(한신)","84.9000","201712","30","69,500","-","22","-","-","1993","서현로 181","-","-","-","-"
"17","경기도 성남시 분당구 이매동","124","0124","0000","이매촌(한신)","66.2700","201712","30","59,900","-","4","-","-","1992","서현로 181","-","-","-","-"
"18","경기도 성남시 분당구 이매동","123","0123","0000","이매촌(청구)","59.9200","201712","30","60,000","-","3","-","-","1992","양현로94번길 29","-","-","-","-"
"19","경기도 성남시 분당구 이매동","111","0111","0000","이매촌(진흥)","59.5800","201712","30","63,000","-","9","-","-","1993","양현로 138","-","-","-","-"
"20","경기도 성남시 분당구 이매동","100","0100","0000","이매촌(삼성)","174.6700","201712","30","98,500","-","14","-","-","1994","양현로 220","-","-","-","-"
"21","경기도 성남시 분당구 이매동","100","0100","0000","이매촌(삼성)","84.9400","201712","30","75,000","-","14","-","-","1994","양현로 192","-","-","-","-"
"22","경기도 성남시 분당구 이매동","100","0100","0000","이매촌(삼성)","127.8300","201712","30","77,000","-","1","-","-","1994","양현로 192","-","-","-","-"
"23","경기도 성남시 분당구 이매동","122","0122","0000","이매촌(금강)","99.1700","201712","30","79,700","-","13","-","-","1992","서현로 177","-","-","-","-"
"24","경기도 성남시 분당구 이매동","140","0140","0000","아름마을(풍림)","134.2200","201712","30","88,000","-","2","-","-","1993","탄천로 59","-","-","-","-"
"25","경기도 성남시 분당구 이매동","133","0133","0000","아름마을(삼호)","158.4000","201712","30","97,000","-","9","-","-","1993","탄천로 95","-","-","-","-"
"26","경기도 성남시 분당구 구미동","110","0110","0000","하얀마을(5단지)(주공)","39.0100","201712","30","33,450","-","17","-","-","1996","미금일로 21","-","-","-","-"
"27","경기도 성남시 분당구 구미동","221","0221","0000","무지개(5단지)(청구)","58.4900","201712","30","39,500","-","15","-","-","1995","무지개로 144","-","-","-","-"
