"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2015-01-01 ~ 2015-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 성남시 분당구 판교동","629","0629","0000","판교원마을3단지(푸르지오)","84.5600","201512","31","71,800","-","10","-","-","2009","판교로 20","-","-","-","-"
"2","경기도 성남시 분당구 정자동","102","0102","0000","한솔마을(4단지)(주공)","36.0000","201512","31","23,500","-","10","-","-","1994","백현로 206","-","-","-","-"
"3","경기도 성남시 분당구 정자동","181","0181","0000","상록마을(보성)","67.4350","201512","31","45,900","-","7","-","-","1995","정자일로 80","-","-","-","-"
"4","경기도 성남시 분당구 서현동","87","0087","0000","시범삼성","192.1500","201512","31","103,500","-","18","-","-","1992","중앙공원로 53","-","-","-","-"
"5","경기도 성남시 분당구 수내동","73","0073","0000","푸른마을(신성)","59.7800","201512","31","38,000","-","1","-","-","1992","수내로 206","-","-","-","-"
"6","경기도 성남시 분당구 구미동","212","0212","0000","무지개(12단지)(주공뜨란체)","49.3600","201512","31","25,500","-","6","-","-","1995","미금로22번길 10","-","-","-","-"
"7","경기도 성남시 분당구 서현동","91","0091","0000","시범한양","148.9400","201512","31","77,000","-","11","-","-","1992","중앙공원로 17","-","-","-","-"
"8","경기도 성남시 분당구 구미동","212","0212","0000","무지개(12단지)(주공뜨란체)","49.6700","201512","31","27,500","-","14","-","-","1996","미금로22번길 10","-","-","-","-"
"9","경기도 성남시 분당구 백현동","556","0556","0000","백현마을7단지(주공)","84.7000","201512","30","81,000","-","12","-","-","2009","판교역로 98","-","-","-","-"
"10","경기도 성남시 분당구 이매동","122","0122","0000","이매촌(금강)","84.4200","201512","30","55,100","-","15","-","-","1993","서현로 177","-","-","-","-"
"11","경기도 성남시 분당구 야탑동","510","0510","0000","탑마을(경향)","131.4000","201512","30","64,000","-","3","-","-","1993","양현로 272","-","-","-","-"
"12","경기도 성남시 분당구 수내동","27","0027","0000","양지마을(3단지)(금호)","134.4800","201512","30","69,500","-","1","-","-","1992","내정로 151","-","-","-","-"
"13","경기도 성남시 분당구 서현동","87","0087","0000","시범삼성","59.9950","201512","30","44,500","-","3","-","-","1991","중앙공원로 53","-","-","-","-"
"14","경기도 성남시 분당구 수내동","73","0073","0000","푸른마을(신성)","131.4000","201512","30","70,500","-","13","-","-","1993","수내로 206","-","-","-","-"
"15","경기도 성남시 분당구 정자동","198","0198","0000","정든마을(2단지)(동아)","48.8400","201512","30","30,500","-","15","-","-","1995","불정로 179","-","-","-","-"
"16","경기도 성남시 분당구 정자동","112","0112","0000","한솔마을(5단지)(주공)","74.9100","201512","30","46,800","-","4","-","-","1994","정자로 115","-","-","-","-"
"17","경기도 성남시 분당구 분당동","66","0066","0000","장안타운(건영)","162.8500","201512","30","59,000","-","2","-","-","1994","장안로41번길 13","-","-","-","-"
"18","경기도 성남시 분당구 분당동","66","0066","0000","장안타운(건영)","70.6800","201512","30","40,500","-","3","-","-","1993","장안로51번길 31","-","-","-","-"
"19","경기도 성남시 분당구 수내동","52","0052","0000","파크타운(서안)","131.4900","201512","30","74,100","-","7","-","-","1993","수내로 148","-","-","-","-"
"20","경기도 성남시 분당구 이매동","100","0100","0000","이매촌(삼성)","127.8300","201512","30","66,000","-","7","-","-","1994","양현로 192","-","-","-","-"
"21","경기도 성남시 분당구 야탑동","536","0536","0000","탑마을(선경)1","51.8400","201512","30","34,500","-","3","-","-","1992","야탑로 20","-","-","-","-"
"22","경기도 성남시 분당구 정자동","198","0198","0000","정든마을(6단지)(우성)","84.9700","201512","30","52,500","-","12","-","-","1995","불정로 195","-","-","-","-"
"23","경기도 성남시 분당구 서현동","308","0308","0000","효자촌(대우)","53.8200","201512","30","30,900","-","4","-","-","1994","분당로263번길 13","-","-","-","-"
"24","경기도 성남시 분당구 야탑동","330","0330","0000","장미마을(동부)","131.7300","201512","30","60,000","-","15","-","-","1993","장미로 55","-","-","-","-"
"25","경기도 성남시 분당구 야탑동","330","0330","0000","장미마을(코오롱)1","84.6000","201512","29","49,800","-","5","-","-","1993","장미로 55","-","-","-","-"
"26","경기도 성남시 분당구 운중동","949","0949","0000","산운마을10단지(대광로제비앙)","83.5040","201512","29","66,500","-","4","-","-","2009","판교원로81번길 15","-","-","-","-"
"27","경기도 성남시 분당구 정자동","181","0181","0000","상록마을(임광)","84.9700","201512","29","55,300","-","5","-","-","1995","정자일로 80","-","-","-","-"
"28","경기도 성남시 분당구 정자동","198","0198","0000","정든마을(2단지)(동아)","48.8400","201512","29","31,500","-","14","-","-","1995","불정로 179","-","-","-","-"
"29","경기도 성남시 분당구 구미동","66","0066","0000","까치마을(3단지)(신원)","130.8300","201512","29","77,700","-","13","-","-","1995","미금로 177","-","-","-","-"
"30","경기도 성남시 분당구 정자동","88","0088","0000","느티마을(3단지)(공무원)","58.7100","201512","29","43,000","-","14","-","-","1995","느티로 70","-","-","-","-"
"31","경기도 성남시 분당구 구미동","242","0242","0000","무지개(7단지)(라이프)","132.3600","201512","29","55,200","-","16","-","-","1995","구미로 143","-","-","-","-"
