"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-01-01 ~ 2023-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 성남시 분당구 삼평동","722","0722","0000","봇들마을3단지(주공)","59.8400","202312","30","115,600","308","8","-","-","2009","동판교로 225","-","중개거래","경기 성남시 분당구","24.03.15"
"2","경기도 성남시 분당구 정자동","180","0180","0000","미켈란쉐르빌","21.2900","202312","30","29,500","C","7","-","-","2003","정자일로 100","-","직거래","-","24.01.16"
"3","경기도 성남시 분당구 백현동","608","0608","0000","THESHARP판교퍼스트파크","84.9746","202312","30","122,000","113동","17","-","-","2021","판교백현로 38","-","중개거래",", 경기 성남시분당구","24.03.07"
"4","경기도 성남시 분당구 서현동","91","0091","0000","시범한양","28.7100","202312","29","55,000","330","8","-","-","1991","중앙공원로 17","-","중개거래","경기 성남시 분당구","24.02.28"
"5","경기도 성남시 분당구 정자동","10-1","0010","0001","현대I-PARK2","162.0100","202312","29","203,000","202","18","-","-","2003","정자일로213번길 19","-","중개거래","경기 성남시분당구, 서울 강동구","24.03.05"
"6","경기도 성남시 분당구 정자동","102","0102","0000","한솔마을(4단지)(주공)","35.2800","202312","29","55,000","417","9","-","-","1994","백현로 206","-","중개거래","경기 성남시분당구","24.03.14"
"7","경기도 성남시 분당구 삼평동","740","0740","0000","판교호반써밋플레이스","131.2400","202312","29","230,000","101","14","-","-","2012","동판교로177번길 25","-","중개거래","경기 성남분당구","24.01.15"
"8","경기도 성남시 분당구 서현동","87","0087","0000","시범삼성","59.9950","202312","29","115,000","102","2","-","-","1991","중앙공원로 53","-","중개거래","경기 성남시분당구","24.04.30"
"9","경기도 성남시 분당구 야탑동","211","0211","0000","매화마을(주공4)","41.8500","202312","29","51,000","-","5","-","-","1993","장미로 193","20240118","중개거래","경기 성남분당구","-"
"10","경기도 성남시 분당구 야탑동","147","0147","0000","목련마을SK","59.9300","202312","29","53,000","605","9","-","-","1998","판교로743번길 7","-","중개거래","경기 성남시분당구","24.03.06"
"11","경기도 성남시 분당구 수내동","36","0036","0000","양지마을(2단지)(청구)","84.6000","202312","29","154,000","213","12","-","-","1992","내정로 185","-","중개거래","경기 성남시분당구","24.02.29"
"12","경기도 성남시 분당구 서현동","92","0092","0000","시범현대","59.5500","202312","29","95,500","402","2","-","-","1991","중앙공원로 20","-","중개거래","경기 성남시분당구","24.02.29"
"13","경기도 성남시 분당구 서현동","301","0301","0000","효자촌(삼환)","84.1570","202312","28","109,500","510","6","-","-","1992","불정로 361","-","중개거래","경기 성남시분당구","24.02.29"
"14","경기도 성남시 분당구 삼평동","718","0718","0000","봇들마을4단지(주공)","84.6100","202312","28","142,700","404","9","-","-","2009","동판교로 226","-","중개거래","경기 성남시분당구, 경기 화성시","24.02.19"
"15","경기도 성남시 분당구 수내동","24","0024","0000","양지마을(5단지)(한양501-514)","35.1000","202312","28","67,000","509","15","-","-","1993","내정로165번길 35","-","중개거래","경기 성남시분당구","24.04.19"
"16","경기도 성남시 분당구 구미동","88","0088","0000","까치마을(2단지)(주공)","58.1400","202312","28","91,000","209","7","-","-","1995","미금일로 22","-","중개거래","경기 성남시분당구","24.02.19"
"17","경기도 성남시 분당구 정자동","110","0110","0000","한솔마을(1단지)(청구)","49.3500","202312","28","74,500","105","1","-","-","1994","불정로 219","-","중개거래","경기 성남시분당구","24.05.22"
"18","경기도 성남시 분당구 운중동","916","0916","0000","산운마을14단지(경남아너스빌)","115.4400","202312","28","132,000","1403","2","-","-","2009","판교원로82번길 60","-","중개거래","경기 성남분당구 경기 의왕시","24.01.31"
"19","경기도 성남시 분당구 서현동","308","0308","0000","효자촌(대우)","84.6960","202312","28","104,800","620","10","-","-","1994","분당로263번길 13","-","중개거래","경기 성남시분당구","24.02.29"
"20","경기도 성남시 분당구 정자동","11","0011","0000","현대I-PARK3","153.3900","202312","27","191,000","301","15","-","-","2003","정자일로213번길 5","-","중개거래","경기 성남시 분당구","24.03.28"
"21","경기도 성남시 분당구 삼평동","744","0744","0000","봇들마을9단지(금호어울림)","115.0100","202312","27","240,000","905","4","-","-","2009","동판교로 156","-","직거래","-","24.01.30"
"22","경기도 성남시 분당구 금곡동","180","0180","0000","청솔마을(유천)","84.6000","202312","27","125,000","204","16","-","-","1995","정자일로 46","-","중개거래","경기 성남시분당구","24.03.29"
"23","경기도 성남시 분당구 백현동","556","0556","0000","백현마을7단지(주공)","84.7300","202312","27","155,500","705","1","-","-","2009","판교역로 98","-","중개거래","경기 성남시분당구","24.03.05"
"24","경기도 성남시 분당구 정자동","102","0102","0000","한솔마을(4단지)(주공)","41.8500","202312","27","58,500","410","1","-","-","1994","백현로 206","-","중개거래","경기 성남시분당구","24.03.29"
"25","경기도 성남시 분당구 수내동","24","0024","0000","양지마을(5단지)(한양515-529)","84.9000","202312","26","135,000","516","2","-","-","1992","내정로165번길 35","-","중개거래","경기 성남시분당구","24.03.18"
"26","경기도 성남시 분당구 야탑동","215","0215","0000","매화마을공무원2","58.7100","202312","26","70,500","204","15","-","-","1995","장미로 139","-","중개거래","경기 성남시분당구","24.02.28"
"27","경기도 성남시 분당구 금곡동","176","0176","0000","청솔마을(계룡)","84.9700","202312","26","110,000","110","6","-","-","1996","정자일로 30","-","중개거래","경기 성남시분당구","24.02.28"
"28","경기도 성남시 분당구 서현동","92","0092","0000","시범현대","84.9500","202312","26","136,000","429","10","-","-","1992","중앙공원로 20","-","중개거래","경기 성남시분당구","24.03.22"
"29","경기도 성남시 분당구 분당동","34","0034","0000","샛별마을(라이프)","85.0000","202312","26","110,000","106","14","-","-","1993","분당로 190","-","중개거래","경기 성남시분당구","24.04.19"
"30","경기도 성남시 분당구 구미동","66","0066","0000","까치마을(3단지)(신원)","84.8000","202312","25","135,000","307","6","-","-","1995","미금로 177","-","중개거래","경기 성남시분당구","24.03.18"
"31","경기도 성남시 분당구 판교동","585","0585","0000","판교원마을9단지(한림풀에버)","84.9562","202312","25","131,000","913","5","-","-","2009","서판교로 29","-","중개거래","경기 성남분당구","24.02.02"
"32","경기도 성남시 분당구 구미동","212","0212","0000","무지개(12단지)(주공뜨란체)","58.1400","202312","23","65,000","1203","9","-","-","1995","미금로22번길 10","-","중개거래","경기 성남시분당구","24.02.20"
"33","경기도 성남시 분당구 야탑동","147","0147","0000","목련마을SK","59.9300","202312","22","49,500","603","9","-","-","1998","판교로743번길 7","-","중개거래","경기 성남분당구","24.01.31"
"34","경기도 성남시 분당구 야탑동","518","0518","0000","탑마을(주공)","35.2800","202312","22","48,000","803","4","-","-","1993","매화로 12","-","중개거래","경기 성남분당구","23.12.22"
"35","경기도 성남시 분당구 삼평동","718","0718","0000","봇들마을4단지(주공)","84.9800","202312","22","147,000","404","6","-","-","2009","동판교로 226","-","중개거래","경기 성남시 분당구","24.03.14"
"36","경기도 성남시 분당구 서현동","92","0092","0000","시범현대","84.5700","202312","22","135,000","413","11","-","-","1992","중앙공원로 20","-","중개거래","경기 성남분당구","24.01.19"
"37","경기도 성남시 분당구 정자동","198","0198","0000","정든마을(6단지)(우성)","48.8400","202312","22","69,000","612","10","-","-","1994","불정로 195","-","중개거래","경기 성남시분당구","24.03.18"
