"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2022-01-01 ~ 2022-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 성남시 분당구 백현동","530","0530","0000","판교알파리움2단지","96.8150","202212","31","165,000","-","6","-","-","2015","판교역로 145","-","중개거래","경기 성남분당구","-"
"2","경기도 성남시 분당구 야탑동","535","0535","0000","탑마을(대우)","134.3100","202212","29","125,000","-","10","-","-","1992","판교로 421","-","중개거래","경기 성남분당구","-"
"3","경기도 성남시 분당구 이매동","123","0123","0000","이매촌(청구)","101.8900","202212","29","134,000","-","3","-","-","1992","양현로94번길 29","-","중개거래","경기 성남분당구","-"
"4","경기도 성남시 분당구 정자동","169-1","0169","0001","아데나팰리스","164.0300","202212","28","165,000","-","9","-","-","2003","성남대로 275","-","중개거래","경기 성남분당구","-"
"5","경기도 성남시 분당구 서현동","308","0308","0000","효자촌(대우)","53.8200","202212","28","67,000","-","9","-","-","1994","분당로263번길 13","-","중개거래","경기 성남분당구","-"
"6","경기도 성남시 분당구 정자동","180","0180","0000","미켈란쉐르빌","155.1000","202212","27","160,000","-","15","-","-","2003","정자일로 100","-","중개거래","경기 성남분당구","-"
"7","경기도 성남시 분당구 정자동","102","0102","0000","한솔마을(4단지)(주공)","35.2800","202212","27","50,500","-","5","-","-","1994","백현로 206","-","중개거래","경기 성남분당구","-"
"8","경기도 성남시 분당구 금곡동","133","0133","0000","청솔마을(주공9단지)","36.5400","202212","26","55,000","-","5","-","-","1995","미금로 216","-","중개거래","경기 성남분당구","-"
"9","경기도 성남시 분당구 판교동","637","0637","0000","판교원마을7단지(모아미래도)","56.5550","202212","26","98,500","-","11","-","-","2009","판교원로 237","-","중개거래","경기 성남분당구","-"
"10","경기도 성남시 분당구 정자동","102","0102","0000","한솔마을(4단지)(주공)","36.0000","202212","26","50,400","-","13","-","-","1994","백현로 206","-","중개거래","경기 성남분당구","-"
"11","경기도 성남시 분당구 삼평동","717","0717","0000","봇들마을2단지(이지더원)","83.3920","202212","24","115,000","-","11","-","-","2009","판교로 393","-","중개거래","경기 성남분당구","-"
"12","경기도 성남시 분당구 이매동","133","0133","0000","아름마을(두산)","84.8400","202212","23","114,000","-","4","-","-","1992","탄천로 95","20240801","중개거래","경기 성남시 분당구","-"
"13","경기도 성남시 분당구 이매동","133","0133","0000","아름마을(두산)","84.8400","202212","23","114,000","-","4","-","-","1992","탄천로 95","-","중개거래","경기 성남분당구","-"
"14","경기도 성남시 분당구 정자동","117","0117","0000","한솔마을(6단지)(주공)","37.6700","202212","23","53,000","-","11","-","-","1995","내정로 54","-","중개거래","경기 성남분당구","-"
"15","경기도 성남시 분당구 금곡동","177","0177","0000","청솔마을(영남)","84.9600","202212","23","104,000","-","2","-","-","1995","성남대로171번길 8","-","중개거래","경기 성남시분당구","-"
"16","경기도 성남시 분당구 정자동","111","0111","0000","한솔마을(2단지)(LG)","134.9400","202212","23","105,000","-","10","-","-","1995","정자로 143","-","중개거래","경기 성남시 분당구","-"
"17","경기도 성남시 분당구 정자동","111","0111","0000","한솔마을(2단지)(LG)","134.9400","202212","23","105,000","-","10","-","-","1995","정자로 143","-","중개거래","경기 성남시 분당구","-"
"18","경기도 성남시 분당구 운중동","916","0916","0000","산운마을14단지(경남아너스빌)","101.2500","202212","23","134,500","-","10","-","-","2009","판교원로82번길 60","-","중개거래","경기 성남분당구","-"
