"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2006-01-01 ~ 2006-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 경기도"
"시군구 : 고양시 덕양구"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 고양시 덕양구 화정동","1127","1127","0000","옥빛마을(주공)15","59.9300","200612","31","19,000","-","11","-","-","1997","화신로 233","-","-","-","-"
"2","경기도 고양시 덕양구 고양동","414-1","0414","0001","윤창APT","84.9600","200612","31","14,800","-","8","-","-","1997","동헌로 398-17","-","-","-","-"
"3","경기도 고양시 덕양구 행신동","793","0793","0000","소만마을9단지","43.7600","200612","31","8,000","-","14","-","-","1995","소만로 48","-","-","-","-"
"4","경기도 고양시 덕양구 관산동","996","0996","0000","주공그린빌","59.9400","200612","30","16,000","-","17","-","-","2003","통일로802번길 69","-","-","-","-"
"5","경기도 고양시 덕양구 관산동","996","0996","0000","주공그린빌","59.9200","200612","30","15,850","-","5","-","-","2003","통일로802번길 69","-","-","-","-"
"6","경기도 고양시 덕양구 행신동","973","0973","0000","샘터마을(효성)","134.8800","200612","30","59,900","-","21","-","-","1997","화신로 76","-","-","-","-"
"7","경기도 고양시 덕양구 화정동","961","0961","0000","은빛마을11단지","60.0000","200612","30","23,000","-","14","-","-","1996","백양로 126","-","-","-","-"
"8","경기도 고양시 덕양구 행신동","793","0793","0000","소만마을9단지","43.7600","200612","30","9,350","-","7","-","-","1995","소만로 48","-","-","-","-"
"9","경기도 고양시 덕양구 화정동","851","0851","0000","달빛(라이프)2","49.9500","200612","29","13,750","-","11","-","-","1996","화중로 222","-","-","-","-"
"10","경기도 고양시 덕양구 화정동","998","0998","0000","옥빛마을(풍산)","56.8800","200612","29","15,500","-","8","-","-","1996","화신로 233","-","-","-","-"
"11","경기도 고양시 덕양구 행신동","983","0983","0000","샘터마을2","39.9900","200612","29","9,000","-","9","-","-","1996","충장로 118-30","-","-","-","-"
"12","경기도 고양시 덕양구 화정동","1127","1127","0000","옥빛마을(주공)15","59.9300","200612","29","18,100","-","14","-","-","1997","화신로 233","-","-","-","-"
"13","경기도 고양시 덕양구 행신동","785","0785","0000","소만마을(성원)6","49.7700","200612","29","12,300","-","15","-","-","1995","소원로 157","-","-","-","-"
"14","경기도 고양시 덕양구 관산동","996","0996","0000","주공그린빌","59.9200","200612","29","16,000","-","12","-","-","2003","통일로802번길 69","-","-","-","-"
"15","경기도 고양시 덕양구 행신동","953","0953","0000","햇빛주공23","49.9600","200612","29","14,400","-","5","-","-","1996","화신로 105","-","-","-","-"
"16","경기도 고양시 덕양구 화정동","870","0870","0000","은빛삼익건설(5)","134.9700","200612","28","60,500","-","7","-","-","1995","화중로 164","-","-","-","-"
"17","경기도 고양시 덕양구 관산동","996","0996","0000","주공그린빌","84.8000","200612","28","25,500","-","4","-","-","2003","통일로802번길 69","-","-","-","-"
"18","경기도 고양시 덕양구 화정동","851","0851","0000","달빛마을(부영)2","59.6500","200612","28","16,500","-","4","-","-","1996","화중로 222","-","-","-","-"
"19","경기도 고양시 덕양구 주교동","555","0555","0000","루미아트","84.7624","200612","28","29,000","-","17","-","-","2004","원당로125번길 6","-","-","-","-"
"20","경기도 고양시 덕양구 관산동","996","0996","0000","주공그린빌","84.8000","200612","28","29,700","-","13","-","-","2003","통일로802번길 69","-","-","-","-"
"21","경기도 고양시 덕양구 화정동","851","0851","0000","달빛마을(부영)2","50.0000","200612","28","11,800","-","11","-","-","1996","화중로 222","-","-","-","-"
"22","경기도 고양시 덕양구 화정동","952","0952","0000","별빛마을(부영)8(좋은집)","50.0000","200612","28","10,000","-","6","-","-","1995","화신로 298","-","-","-","-"
"23","경기도 고양시 덕양구 토당동","259","0259","0000","대림2","84.9300","200612","28","24,500","-","1","-","-","1997","토당로 123","-","-","-","-"
"24","경기도 고양시 덕양구 토당동","259","0259","0000","대림2","84.9300","200612","28","30,000","-","4","-","-","1997","토당로 123","-","-","-","-"
"25","경기도 고양시 덕양구 관산동","178-57","0178","0057","새서울","42.8400","200612","28","7,700","-","3","-","-","1987","통일로754번길 16","-","-","-","-"
"26","경기도 고양시 덕양구 토당동","53-44","0053","0044","능곡현대홈타운2","84.4500","200612","28","40,000","-","18","-","-","2002","능곡로13번길 16","-","-","-","-"
"27","경기도 고양시 덕양구 화정동","1127","1127","0000","옥빛마을(주공)15","59.9700","200612","28","19,000","-","19","-","-","1997","화신로 233","-","-","-","-"
"28","경기도 고양시 덕양구 화정동","961","0961","0000","은빛마을11단지","50.0000","200612","28","7,642","-","3","-","-","1996","백양로 126","-","-","-","-"
"29","경기도 고양시 덕양구 행신동","953","0953","0000","햇빛주공23","59.9300","200612","28","16,000","-","3","-","-","1996","화신로 105","-","-","-","-"
"30","경기도 고양시 덕양구 화정동","1127","1127","0000","옥빛마을(주공)15","59.9700","200612","28","18,500","-","16","-","-","1997","화신로 233","-","-","-","-"
"31","경기도 고양시 덕양구 행신동","773","0773","0000","무원마을1단지","68.9800","200612","27","23,000","-","13","-","-","1995","화신로 47","-","-","-","-"
"32","경기도 고양시 덕양구 관산동","981","0981","0000","신성","59.5200","200612","27","12,500","-","9","-","-","1998","통일로 749-7","-","-","-","-"
"33","경기도 고양시 덕양구 행신동","973","0973","0000","샘터마을(화성)","134.8800","200612","27","61,000","-","19","-","-","1997","화신로 76","-","-","-","-"
"34","경기도 고양시 덕양구 화정동","851","0851","0000","달빛(라이프)2","49.9500","200612","27","10,000","-","6","-","-","1996","화중로 222","-","-","-","-"
"35","경기도 고양시 덕양구 행신동","934","0934","0000","햇빛마을주공20","49.9600","200612","27","12,000","-","16","-","-","1997","충장로152번길 39","-","-","-","-"
"36","경기도 고양시 덕양구 고양동","197","0197","0000","삼성","84.9960","200612","27","21,000","-","8","-","-","1998","혜음로 30","-","-","-","-"
"37","경기도 고양시 덕양구 행신동","934","0934","0000","햇빛마을주공20","39.9900","200612","27","8,950","-","12","-","-","1997","충장로152번길 39","-","-","-","-"
"38","경기도 고양시 덕양구 주교동","555","0555","0000","루미아트","84.7624","200612","27","23,800","-","2","-","-","2004","원당로125번길 6","-","-","-","-"
"39","경기도 고양시 덕양구 화정동","961","0961","0000","은빛마을11단지","60.0000","200612","27","17,000","-","7","-","-","1996","백양로 126","-","-","-","-"
"40","경기도 고양시 덕양구 화정동","851","0851","0000","달빛마을(부영)2","50.0000","200612","27","9,000","-","6","-","-","1996","화중로 222","-","-","-","-"
"41","경기도 고양시 덕양구 행신동","799","0799","0000","소만마을3단지(늘푸른아파트)","51.0300","200612","27","12,000","-","3","-","-","1996","충경로 138","-","-","-","-"
"42","경기도 고양시 덕양구 행신동","983","0983","0000","샘터마을2","59.5600","200612","27","16,100","-","14","-","-","1996","충장로 118-30","-","-","-","-"
"43","경기도 고양시 덕양구 행신동","946","0946","0000","햇빛주공22","39.9900","200612","27","8,400","-","4","-","-","1996","충장로152번길 40","-","-","-","-"
"44","경기도 고양시 덕양구 화정동","1004","1004","0000","옥빛마을14단지","50.0000","200612","26","10,700","-","10","-","-","1995","백양로 27","-","-","-","-"
"45","경기도 고양시 덕양구 화정동","858","0858","0000","달빛마을(동부)","84.9000","200612","26","36,500","-","8","-","-","1995","화중로 219","-","-","-","-"
"46","경기도 고양시 덕양구 화정동","1127","1127","0000","옥빛마을(주공)15","59.9700","200612","26","18,300","-","17","-","-","1997","화신로 233","-","-","-","-"
"47","경기도 고양시 덕양구 화정동","851","0851","0000","달빛마을(부영)2","59.6500","200612","26","17,850","-","5","-","-","1996","화중로 222","-","-","-","-"
"48","경기도 고양시 덕양구 주교동","565","0565","0000","평화","65.8800","200612","26","12,000","-","1","-","-","1985","원당로125번길 45","-","-","-","-"
"49","경기도 고양시 덕양구 행신동","781","0781","0000","소만마을(풍림)","45.3600","200612","26","12,500","-","6","-","-","1994","소만로 49","-","-","-","-"
"50","경기도 고양시 덕양구 행신동","946","0946","0000","햇빛주공22","59.9800","200612","26","14,000","-","2","-","-","1996","충장로152번길 40","-","-","-","-"
"51","경기도 고양시 덕양구 행신동","983","0983","0000","샘터마을2","59.9700","200612","26","17,000","-","7","-","-","1996","충장로 118-30","-","-","-","-"
"52","경기도 고양시 덕양구 화정동","948","0948","0000","별빛마을9단지(907동에서912동)","84.9300","200612","26","33,000","-","13","-","-","1995","화신로 311","-","-","-","-"
"53","경기도 고양시 덕양구 화정동","952","0952","0000","별빛마을(부영)8(좋은집)","50.0000","200612","26","14,000","-","11","-","-","1995","화신로 298","-","-","-","-"
"54","경기도 고양시 덕양구 행신동","781","0781","0000","소만마을(풍림)","45.3600","200612","26","11,250","-","14","-","-","1994","소만로 49","-","-","-","-"
"55","경기도 고양시 덕양구 성사동","731","0731","0000","신원당(태영6)","54.9100","200612","26","13,750","-","12","-","-","1993","호국로742번길 38","-","-","-","-"
"56","경기도 고양시 덕양구 행신동","796","0796","0000","소만마을1단지","45.4800","200612","26","10,250","-","6","-","-","1995","충경로 149","-","-","-","-"
"57","경기도 고양시 덕양구 화정동","961","0961","0000","은빛마을11단지","60.0000","200612","25","19,300","-","17","-","-","1996","백양로 126","-","-","-","-"
"58","경기도 고양시 덕양구 성사동","724","0724","0000","신원당(동신2)","84.6000","200612","25","29,800","-","3","-","-","1991","고양대로1384번길 53","-","-","-","-"
"59","경기도 고양시 덕양구 고양동","240-6","0240","0006","현대1","84.3600","200612","24","17,500","-","2","-","-","1997","읍내로 28","-","-","-","-"
"60","경기도 고양시 덕양구 관산동","996","0996","0000","주공그린빌","84.5100","200612","24","26,500","-","10","-","-","2003","통일로802번길 69","-","-","-","-"
"61","경기도 고양시 덕양구 행신동","934","0934","0000","햇빛마을주공20","59.9700","200612","24","17,800","-","18","-","-","1997","충장로152번길 39","-","-","-","-"
"62","경기도 고양시 덕양구 행신동","788","0788","0000","소만마을(삼신)","50.7300","200612","23","12,400","-","12","-","-","1994","소원로181번길 15","-","-","-","-"
"63","경기도 고양시 덕양구 화정동","870","0870","0000","은빛삼익주택(5)","134.8300","200612","23","53,000","-","2","-","-","1995","화중로 164","-","-","-","-"
"64","경기도 고양시 덕양구 행신동","953","0953","0000","햇빛주공23","39.9900","200612","23","8,800","-","3","-","-","1996","화신로 105","-","-","-","-"
