월(Monthly),구분,시군구,미분양현황
2017-01,서울,계,205.0
2017-01,서울,종로구,1.0
2017-01,서울,중구,0.0
2017-01,서울,용산구,0.0
2017-01,서울,성동구,77.0
2017-01,서울,광진구,0.0
2017-01,서울,동대문구,0.0
2017-01,서울,중랑구,0.0
2017-01,서울,성북구,0.0
2017-01,서울,강북구,0.0
2017-01,서울,도봉구,31.0
2017-01,서울,노원구,0.0
2017-01,서울,은평구,0.0
2017-01,서울,서대문구,16.0
2017-01,서울,마포구,0.0
2017-01,서울,양천구,3.0
2017-01,서울,강서구,0.0
2017-01,서울,구로구,0.0
2017-01,서울,금천구,0.0
2017-01,서울,영등포구,0.0
2017-01,서울,동작구,0.0
2017-01,서울,관악구,0.0
2017-01,서울,서초구,16.0
2017-01,서울,강남구,0.0
2017-01,서울,송파구,25.0
2017-01,서울,강동구,36.0
2017-01,부산,중구,0.0
2017-01,부산,서구,1.0
2017-01,부산,동구,187.0
2017-01,부산,영도구,53.0
2017-01,부산,부산진구,7.0
2017-01,부산,동래구,141.0
2017-01,부산,남구,24.0
2017-01,부산,북구,0.0
2017-01,부산,해운대구,121.0
2017-01,부산,사하구,289.0
2017-01,부산,금정구,19.0
2017-01,부산,강서구,142.0
2017-01,부산,연제구,6.0
2017-01,부산,수영구,11.0
2017-01,부산,사상구,48.0
2017-01,부산,기장군,53.0
2017-01,대구,계,828.0
2017-01,대구,중구,0.0
2017-01,대구,동구,152.0
2017-01,대구,서구,0.0
2017-01,대구,남구,29.0
2017-01,대구,북구,56.0
2017-01,대구,수성구,17.0
2017-01,대구,달서구,3.0
2017-01,대구,달성군,571.0
2017-01,인천,동구,0.0
2017-01,인천,남구,404.0
2017-01,인천,연수구,795.0
2017-01,인천,남동구,315.0
2017-01,인천,부평구,0.0
2017-01,인천,계양구,0.0
2017-01,인천,서구,221.0
2017-01,인천,강화군,0.0
2017-01,인천,옹진군,0.0
2017-01,광주,계,818.0
2017-01,광주,동구,163.0
2017-01,광주,서구,10.0
2017-01,광주,남구,76.0
2017-01,광주,북구,206.0
2017-01,광주,광산구,363.0
2017-01,대전,계,551.0
2017-01,대전,동구,70.0
2017-01,대전,중구,112.0
2017-01,대전,서구,275.0
2017-01,대전,유성구,94.0
2017-01,대전,대덕구,0.0
2017-01,울산,계,682.0
2017-01,울산,중구,60.0
