월(Monthly),구분,시군구,미분양현황
전국,계,57.0,215.0
서울,계,574.0,
부산,계,5.0,295.0
대구,계,3.0,274.0
인천,계,1.0,196.0
광주,계,2.0,156.0
대전,계,398.0,
울산,계,2.0,89.0
경기,계,10.0,472.0
강원,계,4.0,491.0
충북,계,2.0,11.0
충남,계,6.0,715.0
전북,계,2.0,483.0
전남,계,3.0,800.0
경북,계,3.0,316.0
경남,계,8.0,662.0
제주,계,283.0,
전국,계,73.0,772.0
서울,계,529.0,
부산,계,9.0,9.0
대구,계,8.0,732.0
인천,계,426.0,
광주,계,6.0,506.0
대전,계,597.0,
울산,계,996.0,
경기,계,3.0,769.0
강원,계,5.0,314.0
충북,계,2.0,608.0
충남,계,7.0,764.0
전북,계,5.0,163.0
전남,계,4.0,515.0
경북,계,5.0,971.0
경남,계,11.0,784.0
제주,계,89.0,
서울,계,697.0,
서울,종로구,,
서울,중구,,
서울,용산구,,
서울,성동구,,
서울,광진구,187.0,
서울,동대문구,,
서울,중랑구,,
서울,성북구,404.0,
서울,강북구,,
서울,도봉구,,
서울,노원구,,
서울,은평구,,
서울,서대문구,,
서울,마포구,,
서울,양천구,106.0,
서울,강서구,,
서울,구로구,,
서울,금천구,,
서울,영등포구,,
서울,동작구,,
서울,관악구,,
서울,서초구,,
서울,강남구,,
서울,송파구,,
서울,강동구,,
부산,계,8.0,680.0
부산,중구,7.0,
부산,서구,33.0,
부산,동구,46.0,
부산,영도구,190.0,
부산,부산진구,539.0,
부산,동래구,409.0,
부산,남구,481.0,
부산,북구,504.0,
부산,해운대구,438.0,
부산,사하구,548.0,
부산,금정구,594.0,
부산,강서구,1.0,720.0
부산,연제구,449.0,
부산,수영구,316.0,
부산,사상구,15.0,
부산,기장군,2.0,391.0
대구,계,9.0,467.0
대구,중구,114.0,
대구,동구,1.0,184.0
대구,서구,242.0,
대구,남구,291.0,
대구,북구,866.0,
대구,수성구,2.0,608.0
대구,달서구,3.0,114.0
대구,달성군,1.0,48.0
인천,계,243.0,
인천,중구,0.0,
인천,동구,0.0,
인천,남구,38.0,
인천,연수구,0.0,
인천,남동구,22.0,
인천,부평구,127.0,
인천,계양구,2.0,
인천,서구,40.0,
인천,강화군,14.0,
인천,옹진군,,
광주,계,7.0,5.0
광주,동구,7.0,
광주,서구,288.0,
광주,남구,289.0,
광주,북구,998.0,
광주,광산구,5.0,423.0
대전,계,819.0,
대전,동구,216.0,
대전,중구,159.0,
대전,서구,116.0,
대전,유성구,282.0,
대전,대덕구,46.0,
울산,계,1.0,180.0
울산,중구,73.0,
울산,남구,619.0,
울산,동구,24.0,
울산,북구,104.0,
울산,울주군,360.0,
경기,계,819.0,
경기,수원시,216.0,
경기,성남시,159.0,
경기,의정부시,116.0,
경기,안양시,282.0,
경기,부천시,46.0,
경기,광명시,1.0,180.0
경기,평택시,73.0,
경기,동두천시,619.0,
경기,안산시,24.0,
경기,고양시,104.0,
경기,과천시,360.0,
경기,구리시,32.0,
경기,남양주시,204.0,
경기,오산시,433.0,
경기,시흥시,23.0,
경기,군포시,0.0,
경기,의왕시,0.0,
경기,하남시,0.0,
경기,용인시,0.0,
경기,파주시,1.0,
경기,이천시,473.0,
경기,안성시,619.0,
경기,김포시,119.0,
경기,양주시,,
경기,여주군,167.0,
경기,화성시,117.0,
경기,광주시,87.0,
경기,연천군,262.0,
경기,포천시,231.0,
경기,가평군,,
경기,양평군,,
강원,계,5.0,312.0
강원,춘천시,932.0,
강원,원주시,1.0,534.0
강원,강릉시,692.0,
강원,동해시,63.0,
강원,태백시,300.0,
강원,속초시,0.0,
강원,삼척시,380.0,
강원,홍천군,246.0,
강원,횡성군,18.0,
강원,영월군,0.0,
강원,평창군,610.0,
강원,정선군,0.0,
강원,철원군,342.0,
강원,화천군,,
강원,양구군,,
강원,인제군,40.0,
강원,고성군,155.0,
강원,양양군,,
충북,계,2.0,548.0
