월(Monthly),구분,시군구,미분양현황
서울,계,3.0,415.0
서울,종로구,27.0,
서울,중구,51.0,
서울,용산구,83.0,
서울,성동구,265.0,
서울,광진구,26.0,
서울,동대문구,26.0,
서울,중랑구,69.0,
서울,성북구,292.0,
서울,강북구,63.0,
서울,도봉구,0.0,
서울,노원구,7.0,
서울,은평구,195.0,
서울,서대문구,88.0,
서울,마포구,666.0,
서울,양천구,85.0,
서울,강서구,57.0,
서울,구로구,477.0,
서울,금천구,0.0,
서울,영등포구,256.0,
서울,동작구,214.0,
서울,관악구,0.0,
서울,서초구,80.0,
서울,강남구,7.0,
서울,송파구,60.0,
서울,강동구,321.0,
부산,계,6.0,985.0
부산,중구,0.0,
부산,서구,2.0,
부산,동구,0.0,
부산,영도구,158.0,
부산,부산진구,293.0,
부산,동래구,38.0,
부산,남구,0.0,
부산,북구,1.0,367.0
부산,해운대구,380.0,
부산,사하구,116.0,
부산,금정구,179.0,
부산,강서구,2.0,410.0
부산,연제구,92.0,
부산,수영구,178.0,
부산,사상구,77.0,
부산,기장군,1.0,695.0
대구,계,2.0,898.0
대구,중구,412.0,
대구,동구,132.0,
대구,서구,348.0,
대구,남구,0.0,
대구,북구,97.0,
대구,수성구,1.0,239.0
대구,달서구,548.0,
대구,달성군,122.0,
인천,계,4.0,637.0
인천,중구,1.0,122.0
인천,동구,0.0,
인천,남구,724.0,
인천,연수구,1.0,501.0
인천,남동구,293.0,
인천,부평구,56.0,
인천,계양구,241.0,
인천,서구,649.0,
인천,강화군,51.0,
인천,옹진군,0.0,
광주,계,3.0,369.0
광주,동구,2.0,
광주,서구,542.0,
광주,남구,606.0,
광주,북구,1.0,756.0
광주,광산구,463.0,
대전,계,1.0,404.0
대전,동구,1.0,
대전,중구,123.0,
대전,서구,237.0,
대전,유성구,725.0,
대전,대덕구,318.0,
울산,계,3.0,245.0
울산,중구,803.0,
울산,남구,1.0,514.0
울산,동구,90.0,
울산,북구,563.0,
울산,울주군,275.0,
경기,계,25.0,732.0
경기,수원시,1.0,91.0
경기,성남시,145.0,
경기,의정부시,0.0,
경기,안양시,10.0,
경기,부천시,871.0,
경기,광명시,3.0,
경기,평택시,555.0,
경기,동두천시,0.0,
경기,안산시,130.0,
경기,고양시,2.0,925.0
