연월,지역,사업유형,주소,주택명,세대수
2025-12,울산,분양,울산광역시 남구 신정동  1154-7,문수로 금호어울림 더 퍼스트,402
2026-06,울산,분양,울산광역시 남구 신정동  1266-6,푸르지오 어반피스,339
2026-08,울산,분양,울산광역시 남구 신정동  1267-6,문수로 롯데캐슬 그랑파르크,193
2025-12,울산,분양,울산광역시 남구 신정동  22-4,빌리브 리버런트,311
2025-07,울산,분양,울산광역시 남구 신정동  836-3,울산대공원 한신더휴,302
2026-11,울산,분양,울산광역시 남구 야음동  828-9,e편한세상 번영로 리더스포레,192
2026-08,울산,분양,울산광역시 남구 옥동  651-2,옥동 경남아너스빌 ubc,320
2025-06,울산,분양,울산광역시 북구 신천동  476-4,유보라 신천매곡,352
2026-11,울산,분양,울산광역시 울주군 범서읍 서사리 0-0,우미린 더 시그니처,1430
2025-06,울산,분양,울산광역시 울주군 범서읍 서사리 산25,울산다운2A9(신혼희망타운),835
2025-06,울산,임대,울산광역시 울주군 범서읍 서사리 산25,울산다운2A9신혼희망타운(행복주택),417
2025-00,울산,분양,울산광역시 울주군 온양읍 대안리 269-1,(가칭)센텀엘까사,149
2025-05,울산,분양,울산광역시 울주군 청량읍 덕하리 409-9,울산덕하역 신일해피트리 더루츠,672
2025-10,울산,임대,울산광역시 중구 다운동  0-0,울산다운2 A-6블록 행복주택,800
2025-10,울산,임대,울산광역시 중구 다운동  0-0,울산다운2 A-5블록 국민임대주택,701
2025-04,울산,분양조합,울산광역시 중구 다운동  741-2,다운 한양립스 더 퍼스트 하임,400
2025-03,울산,분양조합,울산광역시 중구 우정동 187-3,유탑유블레스,312
2025-07,인천,임대,인천광역시 강화군 강화읍 신문리 573-3,강화신문 2단지 행복주택,40
2025-07,인천,임대,인천광역시 강화군 강화읍 신문리 573-3,강화신문 2단지(마을정비형) 영구임대주택,30
2025-07,인천,임대,인천광역시 강화군 강화읍 신문리 573-3,강화신문 2단지(마을정비형) 국민임대주택,60
2026-12,인천,분양,인천광역시 계양구 동양동  172-0,인천계양지구 A3블록 신혼희망타운,359
2026-12,인천,분양,인천광역시 계양구 동양동  172-0,ANDANTE(인천계양 A2 공공분양),747
2026-12,인천,,인천광역시 계양구 동양동 410-5,인천계양 A3,179
2025-10,인천,분양,인천광역시 계양구 작전동  286-2,인천 작전 한라비발디,340
2025-08,인천,분양,인천광역시 계양구 효성동  324-6,제일풍경채 계양 위너스카이 B블록,566
2025-08,인천,분양,인천광역시 계양구 효성동  352-2,제일풍경채 계양 위너스카이 A블록,777
2025-12,인천,분양임대조합,인천광역시 남동구 간석동  514-0,인천시청역 한신더휴,469
2026-01,인천,분양조합,인천광역시 동구 송림동  42-215,인천 두산위브 더센트럴,1321
2025-08,인천,분양,인천광역시 미추홀구 도화동  843-0,서희스타힐스 더 도화,144
2025-01,인천,분양,인천광역시 미추홀구 숭의동,힐스테이트숭의역,748
