"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2018-01-01 ~ 2018-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 경기도"
"시군구 : 고양시 일산서구"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 고양시 일산서구 일산동","1945-1","1945","0001","푸르지오","59.9500","201812","31","24,800","-","7","-","-","2013","일청로 75","-","-","-","-"
"2","경기도 고양시 일산서구 일산동","1077","1077","0000","후곡마을(건영15)","70.9800","201812","31","30,400","-","15","-","-","1994","강선로 169","-","-","-","-"
"3","경기도 고양시 일산서구 일산동","1654","1654","0000","산들마을3단지","84.8010","201812","31","31,150","-","17","-","-","2003","고양대로 724-17","-","-","-","-"
"4","경기도 고양시 일산서구 주엽동","1","0001","0000","문촌마을1단지우성","50.5500","201812","31","23,000","-","8","-","-","1994","대산로 184","-","-","-","-"
"5","경기도 고양시 일산서구 주엽동","84","0084","0000","강선마을15단지보성","84.6200","201812","31","43,200","-","4","-","-","1993","강선로 30","-","-","-","-"
"6","경기도 고양시 일산서구 대화동","2228","2228","0000","장성마을(동부)","67.4460","201812","31","39,700","-","18","-","-","1995","주화로 211","-","-","-","-"
"7","경기도 고양시 일산서구 탄현동","121","0121","0000","큰마을대림,현대아파트","59.8200","201812","31","18,300","-","9","-","-","2001","일현로 140","-","-","-","-"
"8","경기도 고양시 일산서구 일산동","1945-1","1945","0001","푸르지오","82.3800","201812","30","31,700","-","21","-","-","2013","일청로 75","-","-","-","-"
"9","경기도 고양시 일산서구 일산동","1103","1103","0000","후곡마을(주공)","68.1300","201812","29","26,250","-","8","-","-","1995","강선로 188","-","-","-","-"
"10","경기도 고양시 일산서구 일산동","1090","1090","0000","후곡마을(현대18)","72.3600","201812","29","29,000","-","9","-","-","1994","일산로 487","-","-","-","-"
"11","경기도 고양시 일산서구 대화동","2570","2570","0000","킨텍스휴먼빌(6단지)","84.2865","201812","29","34,600","-","17","-","-","2003","대화2로 121","-","-","-","-"
"12","경기도 고양시 일산서구 일산동","1050","1050","0000","후곡마을(건영6)","84.5000","201812","29","34,000","-","13","-","-","1994","일산로 614","-","-","-","-"
"13","경기도 고양시 일산서구 주엽동","5","0005","0000","문촌마을2단지라이프","127.1400","201812","29","50,000","-","14","-","-","1994","대산로 164","-","-","-","-"
"14","경기도 고양시 일산서구 일산동","1090","1090","0000","후곡마을(현대18)","72.3600","201812","28","25,000","-","3","-","-","1994","일산로 487","-","-","-","-"
"15","경기도 고양시 일산서구 일산동","1069","1069","0000","후곡마을(현대3)","133.4250","201812","28","47,000","-","19","-","-","1994","후곡로 60","-","-","-","-"
"16","경기도 고양시 일산서구 탄현동","1640","1640","0000","일산두산위브더제니스","120.7820","201812","28","82,700","-","39","-","-","2013","일현로 97-11","-","-","-","-"
"17","경기도 고양시 일산서구 탄현동","1640","1640","0000","일산두산위브더제니스","59.9070","201812","28","38,500","-","43","-","-","2013","일현로 97-11","-","-","-","-"
"18","경기도 고양시 일산서구 탄현동","121","0121","0000","큰마을대림,현대아파트","84.7300","201812","28","24,300","-","7","-","-","2001","일현로 140","-","-","-","-"
"19","경기도 고양시 일산서구 주엽동","73","0073","0000","강선마을11단지태영","41.8500","201812","28","19,000","-","11","-","-","1994","중앙로 1388","-","-","-","-"
"20","경기도 고양시 일산서구 주엽동","135","0135","0000","문촌마을15단지부영","49.7200","201812","28","28,900","-","5","-","-","1993","주엽로 123","-","-","-","-"
"21","경기도 고양시 일산서구 일산동","960-6","0960","0006","일산동문(2)","58.9880","201812","28","20,300","-","10","-","-","1997","고양대로 620","-","-","-","-"
"22","경기도 고양시 일산서구 탄현동","1585","1585","0000","탄현마을풍림","59.8590","201812","27","20,300","-","2","-","-","2000","현중로 10","-","-","-","-"
"23","경기도 고양시 일산서구 일산동","1046","1046","0000","후곡마을(대창)","71.0800","201812","27","29,500","-","4","-","-","1995","후곡로 55","-","-","-","-"
"24","경기도 고양시 일산서구 일산동","1046","1046","0000","후곡마을(대창)","53.8200","201812","27","20,500","-","8","-","-","1995","후곡로 55","-","-","-","-"
"25","경기도 고양시 일산서구 일산동","1103","1103","0000","후곡마을(주공)","68.1300","201812","27","25,000","-","4","-","-","1995","경의로 605","-","-","-","-"
"26","경기도 고양시 일산서구 일산동","2041","2041","0000","에이스10차","59.7300","201812","27","17,200","-","12","-","-","1996","탄중로 518","-","-","-","-"
"27","경기도 고양시 일산서구 덕이동","1534","1534","0000","하이파크시티일산파밀리에3단지","121.4500","201812","27","43,900","-","5","-","-","2011","하이파크2로59번길 7","-","-","-","-"
"28","경기도 고양시 일산서구 대화동","1580","1580","0000","대화마을한라(2단지)","133.1180","201812","27","45,000","-","10","-","-","2002","대화2로 68","-","-","-","-"
"29","경기도 고양시 일산서구 탄현동","1480","1480","0000","탄현마을(부영7)","50.2800","201812","27","16,500","-","15","-","-","1995","탄현로 64","-","-","-","-"
"30","경기도 고양시 일산서구 일산동","2147","2147","0000","유진스웰2단지","84.9671","201812","26","39,500","-","15","-","-","2010","일중로15번길 128","-","-","-","-"
"31","경기도 고양시 일산서구 대화동","2573","2573","0000","대화마을동문(3단지)","84.4540","201812","26","35,000","-","17","-","-","2002","대화1로 51","-","-","-","-"
"32","경기도 고양시 일산서구 일산동","1046","1046","0000","후곡마을(대창)","84.9650","201812","26","33,800","-","6","-","-","1995","후곡로 55","-","-","-","-"
"33","경기도 고양시 일산서구 가좌동","1089","1089","0000","가좌마을2단지대우","84.8566","201812","26","22,300","-","1","-","-","2005","가좌3로 45","-","-","-","-"
"34","경기도 고양시 일산서구 탄현동","1640","1640","0000","일산두산위브더제니스","120.7820","201812","26","83,800","-","52","-","-","2013","일현로 97-11","-","-","-","-"
"35","경기도 고양시 일산서구 주엽동","15","0015","0000","문촌마을11단지건영","84.8800","201812","26","35,500","-","4","-","-","1999","중앙로 1496","-","-","-","-"
"36","경기도 고양시 일산서구 주엽동","15","0015","0000","문촌마을11단지건영","84.8800","201812","26","36,500","-","14","-","-","1999","중앙로 1496","-","-","-","-"
"37","경기도 고양시 일산서구 탄현동","1640","1640","0000","일산두산위브더제니스","120.4820","201812","26","84,400","-","31","-","-","2013","일현로 97-11","-","-","-","-"
"38","경기도 고양시 일산서구 탄현동","1640","1640","0000","일산두산위브더제니스","120.7820","201812","26","89,600","-","54","-","-","2013","일현로 97-11","-","-","-","-"
"39","경기도 고양시 일산서구 탄현동","1479","1479","0000","탄현마을(현대)","68.0400","201812","25","20,000","-","3","-","-","1994","현중로 64","-","-","-","-"
"40","경기도 고양시 일산서구 탄현동","1640","1640","0000","일산두산위브더제니스","120.4820","201812","25","81,300","-","12","-","-","2013","일현로 97-11","-","-","-","-"
"41","경기도 고양시 일산서구 주엽동","75","0075","0000","강선마을10단지한양","41.2650","201812","25","17,200","-","15","-","-","1998","중앙로 1376","-","-","-","-"
"42","경기도 고양시 일산서구 주엽동","60","0060","0000","강선마을9단지화성","69.9000","201812","25","29,500","-","8","-","-","1993","강성로 62","-","-","-","-"
"43","경기도 고양시 일산서구 탄현동","1476","1476","0000","탄현마을(동성)","101.8500","201812","24","27,500","-","2","-","-","1994","일현로 128","-","-","-","-"
"44","경기도 고양시 일산서구 탄현동","1640","1640","0000","일산두산위브더제니스","120.4820","201812","24","92,000","-","36","-","-","2013","일현로 97-11","-","-","-","-"
"45","경기도 고양시 일산서구 주엽동","8","0008","0000","문촌마을6단지기산쌍용","84.9000","201812","24","36,500","-","7","-","-","1994","대산로 183","-","-","-","-"
"46","경기도 고양시 일산서구 주엽동","133","0133","0000","문촌마을14단지세경","49.6800","201812","24","29,000","-","13","-","-","1999","킨텍스로 300","-","-","-","-"
"47","경기도 고양시 일산서구 일산동","1686","1686","0000","산들마을","84.9300","201812","24","29,000","-","19","-","-","2005","고양대로 719-12","-","-","-","-"
"48","경기도 고양시 일산서구 일산동","1055","1055","0000","후곡마을(동성)","69.3900","201812","24","32,800","-","13","-","-","1995","킨텍스로 410","-","-","-","-"
"49","경기도 고양시 일산서구 일산동","1055","1055","0000","후곡마을(동성)","59.4000","201812","23","24,400","-","5","-","-","1994","킨텍스로 410","-","-","-","-"
"50","경기도 고양시 일산서구 탄현동","1484","1484","0000","탄현마을(부영3)","46.5800","201812","22","17,000","-","10","-","-","1995","홀트로 11","-","-","-","-"
"51","경기도 고양시 일산서구 가좌동","1087","1087","0000","가좌마을5단지벽산","101.9820","201812","22","31,550","-","6","-","-","2005","가좌1로 10","-","-","-","-"
"52","경기도 고양시 일산서구 일산동","1058","1058","0000","후곡마을(롯데)","51.1680","201812","22","25,800","-","12","-","-","1994","후곡로 10","-","-","-","-"
"53","경기도 고양시 일산서구 주엽동","120","0120","0000","문촌마을17단지신안","134.7900","201812","22","76,000","-","15","-","-","1994","주엽로 102","-","-","-","-"
"54","경기도 고양시 일산서구 주엽동","133","0133","0000","문촌마을14단지세경","49.6800","201812","22","28,500","-","7","-","-","1999","킨텍스로 300","-","-","-","-"
"55","경기도 고양시 일산서구 덕이동","1076","1076","0000","중앙하이츠빌","84.6072","201812","22","21,900","-","8","-","-","2001","덕이로 238","-","-","-","-"
"56","경기도 고양시 일산서구 대화동","2209","2209","0000","세경","49.6800","201812","22","23,500","-","2","-","-","2000","강성로 256","-","-","-","-"
"57","경기도 고양시 일산서구 대화동","2228","2228","0000","장성마을(동부)","67.4460","201812","22","40,500","-","10","-","-","1995","주화로 211","-","-","-","-"
"58","경기도 고양시 일산서구 덕이동","277-10","0277","0010","철산","36.2100","201812","21","13,000","-","1","-","-","1989","경의로 867","-","-","-","-"
"59","경기도 고양시 일산서구 일산동","1833","1833","0000","일산동원(23-55)","41.2200","201812","21","9,800","-","5","-","-","1989","고봉로329번길 34","-","-","-","-"
"60","경기도 고양시 일산서구 대화동","2228","2228","0000","장성마을(동부)","67.4460","201812","21","41,000","-","17","-","-","1995","주화로 211","-","-","-","-"
"61","경기도 고양시 일산서구 덕이동","1540","1540","0000","하이파크시티일산아이파크5단지","127.8739","201812","21","45,000","-","21","-","-","2011","하이파크3로 62","-","-","-","-"
"62","경기도 고양시 일산서구 덕이동","1535","1535","0000","하이파크시티일산파밀리에4단지","84.5700","201812","21","38,000","-","17","-","-","2011","하이파크3로 61","-","-","-","-"
"63","경기도 고양시 일산서구 일산동","1086","1086","0000","후곡마을(동아16)","48.8400","201812","20","24,000","-","8","-","-","1995","강선로 141","-","-","-","-"
"64","경기도 고양시 일산서구 탄현동","1477","1477","0000","탄현마을(건영5)","68.6100","201812","20","20,800","-","9","-","-","1995","현중로 61","-","-","-","-"
"65","경기도 고양시 일산서구 주엽동","12","0012","0000","문촌마을(동아)8단지","71.6400","201812","20","35,200","-","14","-","-","1994","주엽로 163","-","-","-","-"
"66","경기도 고양시 일산서구 주엽동","136","0136","0000","문촌마을13단지대우","74.4600","201812","20","31,000","-","5","-","-","1995","중앙로 1471","-","-","-","-"
"67","경기도 고양시 일산서구 주엽동","90","0090","0000","강선마을17단지동성","47.4900","201812","20","27,400","-","7","-","-","1994","호수로 710-1","-","-","-","-"
"68","경기도 고양시 일산서구 덕이동","1535","1535","0000","하이파크시티일산파밀리에4단지","84.5700","201812","20","37,000","-","18","-","-","2011","하이파크3로 61","-","-","-","-"
"69","경기도 고양시 일산서구 일산동","954","0954","0000","태영(954)","84.8900","201812","20","33,000","-","12","-","-","2002","고양대로 622","-","-","-","-"
"70","경기도 고양시 일산서구 일산동","1050","1050","0000","후곡마을(동부)","51.0600","201812","20","20,900","-","12","-","-","1994","일산로 614","-","-","-","-"
"71","경기도 고양시 일산서구 일산동","1040","1040","0000","후곡마을(대우)","59.3740","201812","20","21,800","-","11","-","-","1995","킨텍스로 456","-","-","-","-"
"72","경기도 고양시 일산서구 일산동","1093","1093","0000","후곡마을(태영13)","72.2800","201812","20","27,800","-","5","-","-","1994","일산로 488","-","-","-","-"
"73","경기도 고양시 일산서구 대화동","1580","1580","0000","대화마을한라(2단지)","84.9320","201812","19","32,000","-","16","-","-","2002","대화2로 68","-","-","-","-"
"74","경기도 고양시 일산서구 주엽동","98","0098","0000","강선마을19단지우성","125.3200","201812","19","60,000","-","2","-","-","1994","강선로 9","-","-","-","-"
"75","경기도 고양시 일산서구 주엽동","63","0063","0000","강선마을8단지럭키","60.0000","201812","19","32,300","-","4","-","-","1993","강선로 70","-","-","-","-"
"76","경기도 고양시 일산서구 일산동","1818","1818","0000","신영","42.1200","201812","19","9,700","-","2","-","-","1987","고봉로329번길 50","-","-","-","-"
"77","경기도 고양시 일산서구 가좌동","1090","1090","0000","가좌마을1단지양우","84.6399","201812","19","26,000","-","17","-","-","2005","가좌4로 29","-","-","-","-"
"78","경기도 고양시 일산서구 일산동","1103","1103","0000","후곡마을(주공)","68.1300","201812","19","25,150","-","6","-","-","1995","경의로 605","-","-","-","-"
"79","경기도 고양시 일산서구 탄현동","1477","1477","0000","탄현마을(건영5)","68.6100","201812","18","20,000","-","12","-","-","1995","현중로 61","-","-","-","-"
"80","경기도 고양시 일산서구 탄현동","121","0121","0000","큰마을대림,현대아파트","84.7300","201812","18","24,000","-","16","-","-","2001","일현로 140","-","-","-","-"
"81","경기도 고양시 일산서구 대화동","2228","2228","0000","장성마을(동부)","84.9620","201812","18","50,000","-","18","-","-","1995","주화로 211","-","-","-","-"
"82","경기도 고양시 일산서구 주엽동","12","0012","0000","문촌마을(동아)8단지","59.2800","201812","18","27,700","-","4","-","-","1994","주엽로 163","-","-","-","-"
"83","경기도 고양시 일산서구 탄현동","1480","1480","0000","탄현마을(부영7)","50.2800","201812","18","14,800","-","13","-","-","1995","탄현로 64","-","-","-","-"
"84","경기도 고양시 일산서구 탄현동","1479","1479","0000","탄현마을(현대)","68.0400","201812","18","21,000","-","9","-","-","1994","현중로 64","-","-","-","-"
"85","경기도 고양시 일산서구 탄현동","1481","1481","0000","탄현마을(건영4)","53.8300","201812","18","16,700","-","14","-","-","1994","홀트로 57","-","-","-","-"
