"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2017-01-01 ~ 2017-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 경기도"
"시군구 : 고양시 일산서구"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 고양시 일산서구 주엽동","60","0060","0000","강선마을9단지화성","57.2700","201712","31","26,500","-","3","-","-","1993","강성로 62","-","-","-","-"
"2","경기도 고양시 일산서구 탄현동","1640","1640","0000","일산두산위브더제니스","59.9260","201712","30","35,800","-","3","-","-","2013","일현로 97-11","-","-","-","-"
"3","경기도 고양시 일산서구 탄현동","1640","1640","0000","일산두산위브더제니스","120.4820","201712","30","64,000","-","5","-","-","2013","일현로 97-11","-","-","-","-"
"4","경기도 고양시 일산서구 일산동","2120","2120","0000","일신.삼익아파트","84.8900","201712","30","25,000","-","20","-","-","2000","원일로21번길 43","-","-","-","-"
"5","경기도 고양시 일산서구 일산동","2041","2041","0000","에이스10차","84.8700","201712","30","23,000","-","7","-","-","1996","탄중로 518","-","-","-","-"
"6","경기도 고양시 일산서구 일산동","1086","1086","0000","후곡마을(코오롱)","71.3160","201712","30","33,400","-","10","-","-","1995","강선로 141","-","-","-","-"
"7","경기도 고양시 일산서구 일산동","955-2","0955","0002","일산동양(955-2)","84.9720","201712","30","28,450","-","10","-","-","2004","고양대로 633","-","-","-","-"
"8","경기도 고양시 일산서구 탄현동","1634","1634","0000","일산임광진흥아파트","84.8900","201712","30","31,300","-","6","-","-","2009","탄현로 133","-","-","-","-"
"9","경기도 고양시 일산서구 주엽동","138","0138","0000","문촌마을12단지유승","77.6340","201712","30","33,300","-","21","-","-","1996","중앙로 1493","-","-","-","-"
"10","경기도 고양시 일산서구 주엽동","84","0084","0000","강선마을15단지보성","59.8800","201712","30","34,000","-","8","-","-","1993","강선로 30","-","-","-","-"
