"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2011-01-01 ~ 2011-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 경기도"
"시군구 : 김포시"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 김포시 풍무동","740","0740","0000","장릉마을(삼성쉐르빌)","27.4500","201112","31","6,900","-","8","-","-","2002","승가로 89","-","-","-","-"
"2","경기도 김포시 고촌읍 신곡리","1256","1256","0000","수기마을힐스테이트2단지","101.5200","201112","31","43,500","-","9","-","-","2008","수기로 67-53","-","-","-","-"
"3","경기도 김포시 장기동","1629","1629","0000","고창마을(자연앤어울림)","84.6700","201112","30","19,500","-","14","-","-","2009","김포한강2로 192","-","-","-","-"
"4","경기도 김포시 장기동","1629","1629","0000","고창마을(자연앤어울림)","84.8500","201112","30","20,000","-","13","-","-","2009","김포한강2로 192","-","-","-","-"
"5","경기도 김포시 장기동","2004-4","2004","0004","수정마을(쌍용예가)","84.5610","201112","30","31,600","-","11","-","-","2011","김포한강2로 11","-","-","-","-"
"6","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.8060","201112","30","22,000","-","9","-","-","2011","김포한강2로 208","-","-","-","-"
"7","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9590","201112","30","21,000","-","5","-","-","2011","김포한강2로 208","-","-","-","-"
"8","경기도 김포시 장기동","1629","1629","0000","고창마을(자연앤어울림)","84.8500","201112","30","19,410","-","8","-","-","2009","김포한강2로 192","-","-","-","-"
"9","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9840","201112","30","21,700","-","12","-","-","2011","김포한강2로 208","-","-","-","-"
"10","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9590","201112","30","22,000","-","6","-","-","2011","김포한강2로 208","-","-","-","-"
"11","경기도 김포시 장기동","1629","1629","0000","고창마을(자연앤어울림)","84.8500","201112","30","20,000","-","10","-","-","2009","김포한강2로 192","-","-","-","-"
"12","경기도 김포시 장기동","1629","1629","0000","고창마을(자연앤어울림)","84.8500","201112","30","19,660","-","10","-","-","2009","김포한강2로 192","-","-","-","-"
"13","경기도 김포시 장기동","1629","1629","0000","고창마을(자연앤어울림)","84.8500","201112","30","19,500","-","13","-","-","2009","김포한강2로 192","-","-","-","-"
"14","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9840","201112","30","21,800","-","17","-","-","2011","김포한강2로 208","-","-","-","-"
"15","경기도 김포시 장기동","1629","1629","0000","고창마을(자연앤어울림)","84.8500","201112","30","20,000","-","9","-","-","2009","김포한강2로 192","-","-","-","-"
"16","경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","59.7940","201112","30","14,600","-","10","-","-","2001","감정로38번길 16","-","-","-","-"
"17","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9840","201112","30","22,377","-","18","-","-","2011","김포한강2로 208","-","-","-","-"
"18","경기도 김포시 감정동","517-1","0517","0001","쌍용","59.8000","201112","30","12,300","-","1","-","-","1998","중봉로58번길 46","-","-","-","-"
"19","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9840","201112","30","20,400","-","9","-","-","2011","김포한강2로 208","-","-","-","-"
"20","경기도 김포시 풍무동","766","0766","0000","풍무자이2단지","133.3841","201112","30","56,027","-","3","-","-","2010","풍무로96번길 100","-","-","-","-"
"21","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9590","201112","30","22,184","-","6","-","-","2011","김포한강2로 208","-","-","-","-"
"22","경기도 김포시 풍무동","449-2","0449","0002","삼용","59.9750","201112","30","12,900","-","12","-","-","1997","풍무로96번길 8","-","-","-","-"
"23","경기도 김포시 장기동","1629","1629","0000","고창마을(자연앤어울림)","84.8500","201112","30","19,500","-","8","-","-","2009","김포한강2로 192","-","-","-","-"
"24","경기도 김포시 고촌읍 신곡리","1269","1269","0000","수기마을힐스테이트1단지","127.8700","201112","30","60,000","-","14","-","-","2008","수기로 67-54","-","-","-","-"
"25","경기도 김포시 장기동","1629","1629","0000","고창마을(자연앤어울림)","84.8500","201112","30","19,500","-","10","-","-","2009","김포한강2로 192","-","-","-","-"
"26","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9590","201112","29","22,538","-","14","-","-","2011","김포한강2로 208","-","-","-","-"
"27","경기도 김포시 풍무동","748","0748","0000","당곡마을(월드메르디앙)","80.1687","201112","29","18,300","-","16","-","-","2002","풍무로69번길 51","-","-","-","-"
"28","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9590","201112","29","22,790","-","10","-","-","2011","김포한강2로 208","-","-","-","-"
"29","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9220","201112","29","22,064","-","17","-","-","2011","김포한강2로 208","-","-","-","-"
"30","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9590","201112","29","22,500","-","8","-","-","2011","김포한강2로 208","-","-","-","-"
"31","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9840","201112","29","21,949","-","9","-","-","2011","김포한강2로 208","-","-","-","-"
"32","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9590","201112","29","22,485","-","14","-","-","2011","김포한강2로 208","-","-","-","-"
"33","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9840","201112","29","21,000","-","10","-","-","2011","김포한강2로 208","-","-","-","-"
"34","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9830","201112","29","22,500","-","11","-","-","2011","김포한강2로 208","-","-","-","-"
"35","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9840","201112","29","21,820","-","9","-","-","2011","김포한강2로 208","-","-","-","-"
"36","경기도 김포시 운양동","999-2","0999","0002","성창","73.6200","201112","29","16,000","-","4","-","-","1994","운양로 176","-","-","-","-"
"37","경기도 김포시 북변동","802","0802","0000","풍년마을(신안)","84.7400","201112","29","20,000","-","3","-","-","1999","김포대로926번길 15","-","-","-","-"
"38","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9830","201112","29","22,500","-","9","-","-","2011","김포한강2로 208","-","-","-","-"
"39","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9220","201112","29","22,628","-","8","-","-","2011","김포한강2로 208","-","-","-","-"
"40","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9590","201112","29","22,800","-","8","-","-","2011","김포한강2로 208","-","-","-","-"
"41","경기도 김포시 장기동","1629","1629","0000","고창마을(자연앤어울림)","84.8500","201112","29","19,330","-","2","-","-","2009","김포한강2로 192","-","-","-","-"
"42","경기도 김포시 장기동","1629","1629","0000","고창마을(자연앤어울림)","84.8500","201112","29","18,440","-","1","-","-","2009","김포한강2로 192","-","-","-","-"
"43","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9220","201112","28","21,665","-","14","-","-","2011","김포한강2로 208","-","-","-","-"
"44","경기도 김포시 풍무동","766","0766","0000","풍무자이2단지","133.7805","201112","28","55,944","-","9","-","-","2010","풍무로96번길 42","-","-","-","-"
"45","경기도 김포시 풍무동","147","0147","0000","양도마을(서해그랑블)","167.6654","201112","28","37,000","-","10","-","-","2000","양도로 18","-","-","-","-"
"46","경기도 김포시 풍무동","748","0748","0000","당곡마을(월드메르디앙)","94.4623","201112","28","23,000","-","10","-","-","2002","풍무로69번길 51","-","-","-","-"
"47","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9590","201112","28","22,000","-","11","-","-","2011","김포한강2로 208","-","-","-","-"
"48","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9220","201112","28","21,700","-","18","-","-","2011","김포한강2로 208","-","-","-","-"
"49","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9840","201112","28","21,600","-","18","-","-","2011","김포한강2로 208","-","-","-","-"
"50","경기도 김포시 통진읍 마송리","130","0130","0000","현대2","84.8500","201112","28","16,000","-","4","-","-","1999","김포대로 2282","-","-","-","-"
"51","경기도 김포시 북변동","802","0802","0000","풍년마을(신안)","84.7400","201112","27","21,800","-","7","-","-","1999","김포대로926번길 15","-","-","-","-"
"52","경기도 김포시 풍무동","759","0759","0000","유현마을(현대프라임빌)","84.9600","201112","27","24,800","-","10","-","-","2003","유현로 51","-","-","-","-"
"53","경기도 김포시 풍무동","147","0147","0000","양도마을(서해그랑블)","167.6654","201112","27","31,500","-","9","-","-","2000","양도로 46","-","-","-","-"
"54","경기도 김포시 사우동","1474","1474","0000","풍년마을(건영)","84.3900","201112","27","18,850","-","15","-","-","2001","풍년로 53","-","-","-","-"
"55","경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","84.8860","201112","27","16,000","-","8","-","-","2001","감정로38번길 16","-","-","-","-"
"56","경기도 김포시 감정동","517-1","0517","0001","쌍용","84.9700","201112","27","18,000","-","4","-","-","1998","중봉로58번길 46","-","-","-","-"
"57","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9590","201112","27","21,500","-","12","-","-","2011","김포한강2로 208","-","-","-","-"
"58","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9590","201112","27","22,630","-","16","-","-","2011","김포한강2로 208","-","-","-","-"
"59","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.8060","201112","27","21,860","-","10","-","-","2011","김포한강2로 208","-","-","-","-"
"60","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9590","201112","27","22,800","-","6","-","-","2011","김포한강2로 208","-","-","-","-"
"61","경기도 김포시 양촌읍 학운리","3019","3019","0000","자연앤데시앙(금빛마을)","84.5540","201112","27","24,080","-","5","-","-","2010","황금로89번길 25","-","-","-","-"
"62","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9840","201112","27","22,500","-","9","-","-","2011","김포한강2로 208","-","-","-","-"
"63","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9590","201112","27","22,791","-","18","-","-","2011","김포한강2로 208","-","-","-","-"
"64","경기도 김포시 장기동","2065-1","2065","0001","초당마을(우남퍼스트빌)","101.9600","201112","27","38,000","-","7","-","-","2011","김포한강2로 103","-","-","-","-"
"65","경기도 김포시 장기동","1629","1629","0000","고창마을(자연앤어울림)","84.8500","201112","27","20,000","-","16","-","-","2009","김포한강2로 192","-","-","-","-"
"66","경기도 김포시 통진읍 서암리","1107","1107","0000","화수싱그리아","59.6645","201112","27","10,800","-","14","-","-","2004","조강로36번길 12-9","-","-","-","-"
"67","경기도 김포시 사우동","911","0911","0000","풍년마을(현대)","59.9950","201112","27","16,000","-","3","-","-","1998","사우로 12","-","-","-","-"
"68","경기도 김포시 풍무동","766","0766","0000","풍무자이2단지","133.7805","201112","26","55,944","-","12","-","-","2010","풍무로96번길 42","-","-","-","-"
"69","경기도 김포시 운양동","1434","1434","0000","전원마을(월드6차4단지)","84.9800","201112","26","19,200","-","11","-","-","2000","김포한강11로 158","-","-","-","-"
"70","경기도 김포시 장기동","1635","1635","0000","고창마을(이니스더원)","112.0079","201112","26","38,643","-","1","-","-","2008","김포한강3로 290-16","-","-","-","-"
"71","경기도 김포시 장기동","1635","1635","0000","고창마을(이니스더원)","112.0079","201112","26","40,985","-","13","-","-","2008","김포한강3로 290-16","-","-","-","-"
"72","경기도 김포시 장기동","1635","1635","0000","고창마을(이니스더원)","112.0079","201112","26","39,362","-","10","-","-","2008","김포한강3로 290-16","-","-","-","-"
"73","경기도 김포시 장기동","1629","1629","0000","고창마을(자연앤어울림)","84.8500","201112","26","25,000","-","7","-","-","2009","김포한강2로 192","-","-","-","-"
"74","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9840","201112","26","22,000","-","9","-","-","2011","김포한강2로 208","-","-","-","-"
"75","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9840","201112","26","22,442","-","14","-","-","2011","김포한강2로 208","-","-","-","-"
"76","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9840","201112","26","22,500","-","13","-","-","2011","김포한강2로 208","-","-","-","-"
"77","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9590","201112","26","22,619","-","19","-","-","2011","김포한강2로 208","-","-","-","-"
"78","경기도 김포시 풍무동","759","0759","0000","유현마을(현대프라임빌)","118.6300","201112","26","30,000","-","17","-","-","2003","유현로 51","-","-","-","-"
"79","경기도 김포시 풍무동","759","0759","0000","유현마을(현대프라임빌)","134.5200","201112","26","30,000","-","8","-","-","2003","유현로 51","-","-","-","-"
"80","경기도 김포시 운양동","1435","1435","0000","전원마을(월드4차2단지)","134.9500","201112","25","26,000","-","8","-","-","2000","전원로 44","-","-","-","-"
"81","경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","84.8860","201112","24","17,100","-","4","-","-","2001","감정로38번길 16","-","-","-","-"
"82","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9840","201112","24","22,398","-","5","-","-","2011","김포한강2로 208","-","-","-","-"
"83","경기도 김포시 북변동","808","0808","0000","풍년마을(대림)","84.9100","201112","24","23,500","-","19","-","-","1999","김포대로926번길 88-36","-","-","-","-"
