"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2018-01-01 ~ 2018-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 서울특별시"
"시군구 : 송파구"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 송파구 마천동","68-5","0068","0005","천마그랑밸리","74.5400","201812","30","57,000","-","6","-","-","2004","성내천로29길 28","-","-","-","-"
"2","서울특별시 송파구 방이동","48-5","0048","0005","현대주상복합","32.0700","201812","29","21,250","-","7","-","-","1998","오금로11길 55","-","-","-","-"
"3","서울특별시 송파구 잠실동","27","0027","0000","주공아파트 5단지","76.5000","201812","29","171,000","-","14","-","-","1978","송파대로 567","-","-","-","-"
"4","서울특별시 송파구 잠실동","101-1","0101","0001","우성아파트","160.7400","201812","28","238,400","-","6","-","-","1981","올림픽로4길 42","-","-","-","-"
"5","서울특별시 송파구 잠실동","19","0019","0000","잠실엘스","84.8800","201812","28","148,000","-","2","-","-","2008","올림픽로 99","-","-","-","-"
"6","서울특별시 송파구 신천동","7","0007","0000","장미1","82.4500","201812","28","133,000","-","2","-","-","1979","올림픽로35길 104","-","-","-","-"
"7","서울특별시 송파구 문정동","618","0618","0000","파크하비오","84.9648","201812","28","117,500","-","11","-","-","2016","송파대로 111","-","-","-","-"
"8","서울특별시 송파구 신천동","11-4","0011","0004","잠실푸르지오월드마크","119.5800","201812","28","150,000","-","33","-","-","2013","올림픽로35가길 9","-","-","-","-"
"9","서울특별시 송파구 잠실동","27","0027","0000","주공아파트 5단지","76.5000","201812","28","164,500","-","15","-","-","1978","송파대로 567","-","-","-","-"
"10","서울특별시 송파구 잠실동","19","0019","0000","잠실엘스","84.8000","201812","27","163,000","-","23","-","-","2008","올림픽로 99","-","-","-","-"
"11","서울특별시 송파구 마천동","175","0175","0000","한보1","59.2600","201812","27","51,000","-","9","-","-","1998","마천로51길 25","-","-","-","-"
"12","서울특별시 송파구 석촌동","77-7","0077","0007","다성리치빌","84.9400","201812","27","55,000","-","2","-","-","2001","백제고분로37길 12","-","-","-","-"
"13","서울특별시 송파구 잠실동","27","0027","0000","주공아파트 5단지","76.5000","201812","26","171,000","-","3","-","-","1978","송파대로 567","-","-","-","-"
"14","서울특별시 송파구 가락동","102","0102","0000","한신1","84.5300","201812","25","70,000","-","7","-","-","1993","송파대로 220","-","-","-","-"
"15","서울특별시 송파구 잠실동","101-1","0101","0001","우성아파트","96.0500","201812","24","155,000","-","3","-","-","1982","올림픽로4길 42","-","-","-","-"
"16","서울특별시 송파구 잠실동","27","0027","0000","주공아파트 5단지","82.6100","201812","24","181,000","-","4","-","-","1978","송파대로 567","-","-","-","-"
"17","서울특별시 송파구 잠실동","27","0027","0000","주공아파트 5단지","81.7500","201812","23","182,800","-","6","-","-","1978","송파대로 567","-","-","-","-"
"18","서울특별시 송파구 석촌동","24-3","0024","0003","석촌호수효성해링턴타워","15.8307","201812","22","29,500","-","15","-","-","2015","석촌호수로 210","-","-","-","-"
"19","서울특별시 송파구 석촌동","24-3","0024","0003","석촌호수효성해링턴타워","15.8307","201812","22","25,000","-","12","-","-","2015","석촌호수로 210","-","-","-","-"
"20","서울특별시 송파구 송파동","163-14","0163","0014","현대","59.9100","201812","22","63,200","-","4","-","-","1997","오금로32길 42","-","-","-","-"
"21","서울특별시 송파구 풍납동","391","0391","0000","극동","79.9450","201812","22","79,000","-","12","-","-","1987","올림픽로45길 11","-","-","-","-"
"22","서울특별시 송파구 가락동","96-1","0096","0001","우성","43.7900","201812","21","73,300","-","10","-","-","1986","송파대로32길 8","-","-","-","-"
"23","서울특별시 송파구 잠실동","19","0019","0000","잠실엘스","59.9600","201812","21","125,000","-","4","-","-","2008","올림픽로 99","-","-","-","-"
